DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
3,16.25,1.302775,23.05625,5.069075,2.45139999999999,2.31402499999999,0.780125,196.6309,50.03255,13.02095,12.33475,93.505,102.935775,400.4574,17.83625,184.575,363.165,36.346
3,16.75,1.158775,22.54925,5.6938,2.924625,2.481,1.13885,138.7403,52.2678,11.877125,11.79775,93.705,102.935775,402.11245,17.8025,93.5125,260.728475,27.84175
3,17.25,1.174,21.21775,4.946475,3.949525,2.05,1.413,42.64615,28.5374,10.835875,11.460875,93.9025,103,401.2777,17.062,28.51275,163.4575,19.691
3,17.75,1.072,19.95925,4.951175,3.183625,2.201,1.313,18.0584,25.5831,9.614875,11.08725,93.9,103.08,401.61425,16.21225,1.72239999999997,70.5175,8.49775
3,18.25,1.0957,19.44575,4.755275,3.042925,2.4965,1.3244,5.363225,18.9473,8.325125,10.745125,93.9,103.16,403.37505,14.82175,-3.33492500000002,9.216,-0.00510000000000201
3,18.75,1.19545,19.10475,5.20725,3.198625,2.70145,2.26527499999998,6.61280000000005,20.6809,7.4603,10.39375,94.0025,103.1675,403.3545,13.61075,-2.137125,0.0964499999999995,-0.879075000000001
3,19.25,1.233375,18.7655,5.071775,3.6456,3.682425,1.20894999999999,3.03507500000001,15.5244,6.7123,10.0975,94.21,103.24,404.8111,12.5275,-1.309775,0.006,-0.784475
3,19.75,1.103,18.1355,4.867125,3.2136,2.782,1.862,1.66637500000001,9.960225,6.16695,9.83124999999999,94.505,103.2225,408.0028,11.0125,-0.776125000000002,0.00502499999999999,-0.7744
3,20.25,1.133175,17.6435,4.9363,3.9623,2.717325,1.36925,2.26649999999999,12.62205,5.68775,9.6385,94.805,103.3,404.8489,10.381,-0.719100000000004,0.00505,-0.5536
3,20.75,1.057,17.0775,4.9325,2.9758,2.633,1.212,0.302500000000002,8.85175,5.433775,9.518,94.8075,103.3,407.008875,9.42675,0.0379500000000037,0.004,-0.653400000000001
3,21.25,1.0499,16.247,4.57315,3.6065,2.98195,1.256125,1.61665000000002,11.63145,5.3398,9.326,94.9,103.2225,409.764825,8.8405,1.1817,0.00305,-0.831725
