DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
2,0.25,-0.2145,-0.89975,-0.41825,-25.301,0.11,-0.049,424.616,3.7215,-65.91775,0,-2.40125,-0.19475,218.12925,274.52975,-8.76,70.3725,1.349,98.706,-0.77525,-0.42625,-0.3775,1.11425,-9.65,0.345175,0.172125,0.34975
2,0.75,-0.163,-0.196,0.025,-27.555,0.106,-0.0275,426.4315,3.551,-63.41875,0,-2.3815,-0.1945,222.586,274.57725,-8.755,71.285,1.236,98.766,-0.81175,-0.44375,-0.38325,1.1125,-10.27975,0.35875,0.14975,0.38705
2,1.25,-0.041,-0.22875,-0.089,-25.61075,0.1125,-0.028,426.65,3.6265,-60.494,0,-2.24875,-0.17225,220.8195,276.1195,-8.7325,71.5825,1.15825,98.5495,-0.86325,-0.44525,-0.3895,1.10975,-10.26075,0.3325,0.15545,0.37445
2,1.75,-0.09875,-0.319,-0.142,-22.80175,0.1085,-0.03025,427.585,3.607,-54.7085,0,-2.1605,-0.17,220.22775,276.30375,-8.665,71.42,1.06325,98.5405,-0.8825,-0.447,-0.39625,1.10975,-9.9265,0.3772,0.1513,0.3764
2,2.25,-0.182,-0.14425,-0.536,-22.329,0.0965,-0.045,427.829,3.408,-58.37,0,-2.222,-0.10975,227.1575,273.887,-8.95,73.715,1.20475,98.5335,-0.8945,-0.44825,-0.4095,1.1065,-9.812,0.3371,0.1781,0.36105
2,2.75,-0.14125,-0.2115,-0.1065,-20.3915,0.1055,-0.038,427.819,3.619,-53.23025,0,-2.129,-0.11075,226.939,274.83975,-9.0275,74.415,1.256,98.57,-0.89525,-0.4485,-0.42275,1.1065,-9.93375,0.34905,0.1582,0.38385
2,3.25,-0.10775,-0.211,-0.664,-19.405,0.1185,-0.063,427.12825,3.5715,-51.78075,0,-2.05375,-0.1575,240.51675,275.4415,-8.76,75.53,1.376,98.5595,-0.898,-0.44825,-0.43525,1.10725,-9.87275,0.3842,0.20255,0.43405
2,3.75,-0.378,-0.3515,-0.07,-19.549,0.1225,-0.064,426.9055,3.64125,-41.32875,0,-1.996,-0.0895,233.7895,276.56075,-8.54175,74.23,1.3055,98.552,-0.9055,-0.447,-0.4485,1.10725,-9.768,0.41555,0.2044,0.4459
2,4.25,-0.21525,-0.176,-0.5015,-21.17725,0.13,-0.064,427.541,3.5115,-46.2335,0,-2.0825,-0.1335,233.8075,274.45875,-8.465,75.37,1.0235,98.5265,-0.91075,-0.445,-0.46325,1.1075,-9.74275,0.39815,0.18135,0.4072
2,4.75,-0.1885,-0.18,-0.6775,-19.0015,0.1315,-0.0505,427.739,3.564,-58.59525,0,-2.22775,-0.0915,224.58775,274.80275,-8.6525,75.7875,1.4,98.458,-0.91775,-0.44225,-0.473,1.10475,-10.24275,0.403675,0.18945,0.41025
