DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
8,12.75,-4.9700505,264.6338,92.0565745,87.6,379.952466,18.394749,1968.68,0.250599,1.69916,24.344724,22.71,59.155,96.1855,16.54,1295.4851635,70.483,79.916,2025.43675,2038.15,658.25,15.865,14.42,14.04,13.76,10.49,7.074,84.2,363.3014098,429.69553485,484.1
8,13.25,-4.8110115,263.838248,91.07653,87.6815,379.8457465,18.0702385,1964.67,0.255297,1.64604,24.496935,22.86,57.905,96.1856715,16.54,1290.5,76.013,87.872,2015.53375,2039.278,658.35,15.87,14.415,14.035,13.76,10.485,7.0765,86.95,366.497187,432.8595948,489.1
8,13.75,-4.645022,250.118113,84.511255,89.637,379.271828,17.954213,1963.96,0.246517,1.6170005,24.7482855,23.2,56.585,96.176289,16.54,1240.7584745,71.5615,83.9945,2013.225,2032.632,613.6,15.875,14.415,14.03,13.76,10.485,7.078,79.57,369.83698335,433.22614565,438.1
8,14.25,-4.648388,256.066242,85.064179,89.1545,379.487738,17.845036,1961.765,0.2475045,1.6574845,24.780678,23.29,56.04,96.176802,16.53,1164.046558,76.1835,87.177,2005.411,2028.494,610.7,15.87,14.41,14.03,13.76,10.49,7.081,81.11,372.9299363,437.0218574,459.2
8,14.75,-4.333789,229.1036705,73.708473,84.4905,379.219977,17.9795,1957.8515,0.243068,1.676295,24.801149,23.475,55.53,96.159842,16.52,1078.816404,77.5215,89.858,2012.0785,2025.937,555,15.87,14.4,14.02,13.75,10.49,7.083,75.28,377.2703174,437.576149,389.4
8,15.25,-4.2576,215.517703,66.799186,90.759,379.045618,18.004493,1968.234,0.226215,1.650136,24.8400645,23.56,55.08,96.155855,16.53,955,81.0465,87.467,2005.4595,2035.115,476.15,15.87,14.4,14.02,13.75,10.49,7.076,69.695,379.6557627,438.7198629,345.9
8,15.75,-3.906605,194.476525,55.673167,85.311165,378.914271,18.277827,1960.9405,0.227663,1.59285,24.692882,23.48,56.01,96.158513,16.52,855,74.124,83.654,2005.343,2034.549,413.55,15.87,14.41,14.02,13.76,10.49,7.074,66.505,379.5865769,435.8746464,294.15
8,16.25,-3.61584,169.548173,48.056045,84.616,378.703259,18.234028,1966.704,0.2198815,1.528459,24.594694,23.24,56.735,96.1469585,16.54,719.2,82.164,82.6705,2013.6305,2034.479,368.2,15.865,14.4,14.02,13.755,10.49,7.075,54.34,382.9249592,435.65966485,221.1
8,16.75,-2.906228,132.84505,33.052444,82.661,379.526471,18.503991,1975.741,0.202748,1.3939625,24.4165425,23.13,57.625,96.1387875,16.55,502.2,79.182,82.399,2015.5805,2036.3295,278.85,15.855,14.4,14.015,13.755,10.49,7.0775,43.695,381.25825235,433.84203735,167.9
8,17.25,-2.44395,106.979156,21.302457,83.1305,380.03362,18.6989,1974.95,0.181381,1.26072,24.121571,22.87,61.295,96.126331,16.545,262.05,74.1995,84.4135,2031.7585,2035.747,221.9,15.85,14.405,14.015,13.755,10.495,7.0795,38.72,384.99591165,432.32310455,120.2
