DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,18.75,0.2415,2.328,1.551,0.93,0.4135,0.212,-17.277,-10.181,0.112,0.5455,-1.721,0.285,0.4665,46.04,77.975,385.863,4.285,-89.6,1.488,-3.054,0,1.963,233.45,314.45,4.083,0.673
2,19.25,0.261,1.965,1.585,0.6795,0.3395,0.15,-17.7675,-6.754,0.024,0.524,-2.206,0.273,0.464,48.48,77.9905,386.067,3.945,-89.45,1.489,-2.7035,0,2.197,230,312.05,4.217,0.673
2,19.75,0.262,1.772,1.696,0.7245,0.3625,0.142,-15.396,-6.214,0.1895,0.2305,-2.407,0.2745,0.465,50.37,77.995,386.4,3.705,-88.15,1.4885,-2.5445,0,2.1855,229.55,309.95,4.243,0.673
2,20.25,0.228,1.273,1.537,0.681,0.46,0.1205,-16.346,-4.424,0.13,0.0485,-2.5025,0.2585,0.4645,53.29,78.0005,386.824,3.46,-87.75,1.5025,-2.5285,0,2.312,228.15,308,4.374,0.673
2,20.75,0.2365,1.196,1.4825,0.5585,0.3765,0.109,-15.3945,-2.7335,0.112,0.1375,-2.5645,0.2565,0.446,54.375,78,387.428,3.335,-86.7,1.5025,-2.2815,0,2.338,227.55,306.9,4.358,0.673
2,21.25,0.2655,0.9595,1.5245,0.6005,0.3925,0.065,-15.6275,-2.3665,0.2,-0.4365,-2.615,0.2485,0.4455,55.395,78.02,387.707,3.235,-84.1,1.5085,-2.129,0,2.3215,228.65,306,4.339,0.673
2,21.75,0.233,0.622,1.467,0.565,0.3735,0.0565,-12.2335,-2.544,0.343,-0.3075,-1.8195,0.24,0.445,57.335,78.0255,387.788,3.045,-82.1,1.506,-2.2045,0,2.1645,226.7,305.65,4.471,0.673
2,22.25,0.242,0.473,1.54,0.636,0.4265,0.062,-12.087,-1.744,0.216,-0.125,-2.373,0.246,0.4455,59.51,78.0155,387.907,2.94,-82.55,1.512,-2.199,0,2.1875,226.5,304.45,4.496,0.673
2,22.75,0.2305,0.353,1.4785,0.5415,0.39,0.0345,-14.9035,-1.4795,0.3415,0.152,-2.548,0.235,0.437,56.67,78.01,387.849,2.975,-83.8,1.531,-2.0495,0,2.219,225.4,302.1,4.459,0.673
2,23.25,0.1995,0.3065,1.521,0.53,0.376,0.036,-10.893,-1.746,0.4195,-0.411,-2.678,0.212,0.4345,56.865,77.995,387.907,2.885,-84.15,1.52,-2.2035,0,2.153,224,300.75,4.459,0.673
2,23.75,0.1825,0.044,1.58,0.482,0.419,0.042,-15.337,-1.9,0.283,-0.1435,-2.658,0.2115,0.431,56.53,77.98,388.026,2.995,-82.7,1.5155,-2.0945,0,2.1385,224.85,299.95,4.384,0.673
3,0.25,0.264,1.785,1.72,0.855,0.7125,0.007,-17.8305,-1.3835,1.6785,0.094,-6.405,1.012,1.6145,42.96,77.935,387.704,4.1,-89.35,1.489,-2.2815,0,2.289,232,307.5,3.762,0.673
3,0.75,0.274,1.7855,1.8205,0.9185,0.7305,0.024,-21.782,-1.5535,1.1495,-0.038,-5.5875,0.9075,1.5185,43.935,77.9255,387.967,4.045,-88.75,1.4945,-2.288,0,2.3015,231.95,307.7,3.926,0.673
3,1.25,0.267,1.882,1.817,0.8805,0.843,0.053,-21.895,-1.5905,1.1515,0.0485,-6.375,0.803,1.4285,44.755,77.9205,388.05,4.13,-88.4,1.4945,-2.273,0,2.202,229.1,307.1,3.883,0.673
3,1.75,0.3,1.652,1.855,0.8765,0.909,0.0255,-23.8045,-1.6185,1.392,0.076,-6.4625,0.745,1.347,45.69,77.91,387.882,4.015,-87.65,1.4865,-2.3565,0,2.1625,229.25,305.35,4.038,0.673
3,2.25,0.281,1.388,1.828,0.814,0.7825,0.051,-24.611,-1.743,1.29,-0.0125,-6.9725,0.6955,1.2705,46.38,77.9,388,3.785,-86.9,1.489,-2.3,0,2.1995,225.75,305.4,3.998,0.673
3,2.75,0.248,1.397,1.84,0.782,0.6225,0.048,-23.628,-2.236,1.0105,-0.1545,-7.3435,0.6495,1.197,46.41,77.89,388.187,3.77,-86.45,1.514,-2.2485,0,2.2365,228.6,304.1,3.957,0.673
3,3.25,0.254,1.107,1.838,0.801,0.751,0.0215,-25.326,-1.8105,1.594,-0.002,-7.445,0.6075,1.132,46.67,77.87,388.11,3.61,-85.55,1.5065,-2.293,0,2.2145,229.35,303.8,3.969,0.673
3,3.75,0.275,1.097,1.87,0.7895,0.7585,0.007,-17.751,-1.2115,0.5695,0.049,-6.4325,0.5685,1.0735,47.52,77.86,388.013,3.65,-86.7,1.5225,-2.275,0,2.2295,228.05,303.25,4.028,0.673
3,4.25,0.271,0.752,1.813,0.928,0.7835,0.037,-24.2095,-1.339,1.077,-0.2735,-6.9605,0.5245,0.991,48.31,77.85,388.048,3.485,-85.3,1.506,-2.31,0,2.215,230.1,302.85,3.907,0.673
3,4.75,0.195,0.932,1.697,0.771,0.727,0.022,-16.732,-1.567,1.0345,0.081,-7.545,0.486,0.8985,49.6,77.86,388.098,3.56,-84.35,1.509,-2.253,0,2.1835,228.6,302.65,3.977,0.673
3,5.25,0.225,0.637,1.742,0.6825,0.688,-0.012,-18.623,-0.921,0.7995,-0.185,-7.598,0.4485,0.864,50.92,77.87,388.002,3.24,-84.6,1.501,-2.3075,0,2.198,230.1,302.2,3.937,0.673
3,5.75,0.248,0.448,1.765,0.643,0.532,0.0355,-18.736,-1.8425,0.9965,0.1515,-7.48,0.431,0.846,50.78,77.885,388.136,3.36,-83.2,1.509,-2.2125,0,2.2955,230.5,302.6,3.87,0.673
3,6.25,0.231,0.535,1.758,0.704,0.5455,0.011,-17.6545,-0.7895,0.8695,0.111,-7.383,0.4245,0.8215,51.04,77.9,388.094,3.255,-82.25,1.929,-0.785,0,2.5865,229.4,301.15,3.966,1.0065
3,6.75,0.219,0.157,1.623,0.4305,0.4285,-0.026,-13.528,0.5735,0.5325,0.013,-6.6015,0.4195,0.8165,51.4,77.9055,387.86,3.235,-54.615,30.6,18.28,0,8.295,231,301,3.942,26.86
