DOY2,HR2,TAU,H,LE,FC,SC,SH,SLE,WS,USTAR,T_SONIC,CO2,H2O,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,VPD,PA
2,4.25,-0.40730706675,-37.64741550525,-25.040733575,-3.271077589875,-1.1949602982,-2.09826485965,-6.040233801875,0.2912459663,0.03945388535,13.26600443,358.415464415,7.382199270375,-2.53585,0.2903,305.335,368.545,11.418,11.39775,10.7585,73.91375,80.09625,17.9025,17.2635,0.727697066475,101.170850115
2,4.75,-0.38654018355,-36.6257225515,-16.011063989,-4.25329820615,-1.60071937745,-1.95558212835,-7.16786616095,0.3393391083,0.04905348795,13.201426575,359.63147675,8.0387156946,-2.6072,0.2896,303.835,368.9275,11.54025,11.57225,10.625,74.95875,80.4,17.7935,17.25925,0.72345566521,101.15768828
2,5.25,-0.39232493365,-38.58285995825,-27.32901533025,-2.8563371381,-1.57557592185,-1.4494490989,-7.42715242905,0.3470975869,0.0525774868,12.970151895,359.02920987,8.226839128225,-2.2594,0.27745,297.965,367.2,11.246,11.25475,10.59975,76.44375,81.49,17.67975,17.24125,0.6648381512675,101.15337833
2,5.75,-0.3584798093,-38.082623892,-28.952122599,-4.7909424841,-1.36215672805,-1.37957201125,-6.188668827425,0.38954661995,0.0490416834,12.750767355,359.356208265,8.0271588577,-2.4078,0.21885,296.0675,365.4125,11.1015,11.13225,10.6105,74.75,80.415,17.60025,17.22275,0.73622234002,101.1452208
2,6.25,-0.389245512,-38.82372021125,-9.5899281729,-4.18464788265,-0.8810943093,-1.27045654955,-4.8848142703,0.38507551595,0.05056759585,12.597048595,359.97766752,8.104943211,-2.344825,0.1923,297.32,365.895,11.11675,11.0925,10.608,75.49425,81.715,17.506,17.20425,0.72134474366,101.15819274
2,6.75,-0.3707765605,-33.493799315,-9.9748426071,-3.310611394925,-0.9329815431,-1.25164673725,-7.819296600125,0.4427816752,0.04782126335,12.334587605,360.75737638,8.2850498272,-2.234075,0.206225,295.2525,365.4225,11.0225,10.98675,10.595,75.30725,81.245,17.4265,17.19475,0.83816380214,101.178121485
2,7.25,-0.4219645898,-36.7648473125,-24.21281963,-7.65616963345,-1.1811814935,-1.3137990002,-11.9411596225,0.3442388214,0.057799228,11.82538422,360.7265847275,7.72362667475,0.4837,0.49015,294.65,365.545,10.7755,10.83825,10.4915,76.177,80.7675,17.3565,17.18375,0.811266600825,101.17958462
2,7.75,-0.3707620772,-28.23222251475,-8.9768751567,-4.7175030337,-1.244902517675,-0.7701306641,-6.0240536885,0.28493335995,0.0511006678,12.06500802,361.3787232625,7.6368758196,14.22925,2.09315,293.725,370.97,11.4405,11.58475,10.78475,74.11525,79.55075,17.23475,17.187,1.3305855264,101.177619175
2,8.25,-0.4281326488,-18.821163762,-49.62145234875,-7.1295317304,-2.3197688735,-1.00645503005,-4.6540734567,0.4185588522,0.069755403,12.41513988,362.16542998,9.123331382875,31.25325,4.953875,297.045,375.4925,11.77025,12.678,12.0225,71.183,75.0625,17.02225,17.1455,2.144321959375,101.2510263
2,8.75,-0.5909296334,-13.61896272875,-6.658802545225,-18.08655171,-1.825466727,-1.4912802724,-3.138747361625,0.530634747,0.1021673394,13.39815204,362.30563964,9.373789994525,52.86675,6.4877,286.7025,382.475,13.082,13.60125,13.42075,65.8245,69.6115,16.89425,16.9485,2.758376849325,101.25991484
