DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
3,8.25,-0.6143704,-249.8876,-110.117575,-39.73685,0.69391335,0.143041,-9.65415625,413.4092,3.11379075,0.4809834,0.3945344,0.2383042,0.134794125,23.1756035,19.4818665,-9.916375,55.0743375
3,8.75,-0.8641582,-345.448575,-109.666575,-29.26622,1.045591375,0.159115,-9.28771875,412.927725,3.044403,0.5926452,0.4527996,0.262616,0.1369516,27.166669,22.8295175,-9.54425,51.46655
3,9.25,-0.9077556,-327.941375,-117.06865,-25.5665325,1.239708,0.19782725,-9.021744,411.606325,3.031661,0.675989075,0.478709575,0.3004292,0.1605382,31.6929125,26.596182,-9.2788,49.7217825
3,9.75,-1.0929355,-369.9268,-144.6362,-31.23829,1.087822,0.206348,-8.819312,384.876975,3.00875975,0.6656124,0.5741402,0.324521,0.1742534,61.274553,51.4160455,-9.0764,46.79242
3,10.25,-1.05491,-283.26785,-177.030075,-22.61309,0.92781325,0.2285582,-8.318356,392.9058,3.045562,0.6456336,0.4008794,0.3631826,0.1756682,86.3175325,72.4127265,-10.33975,42.563105
3,10.75,-1.2259745,-487.342675,-154.208625,-52.500945,1.2095215,0.24116675,-7.6530645,406.785875,3.09308625,0.759477375,0.505085625,0.3711485,0.178541875,90.9400595,76.3132435,-7.91315,40.6949
3,11.25,-1.23390625,-386.23575,-195.07865,-31.251625,1.06380525,0.253875625,-7.3050185,397.2023,3.000342,0.6923817,0.53806995,0.364554625,0.196951125,107.56739,90.221423,-7.56645,39.74285
3,11.75,-1.06929,-325.64075,-213.78705,-33.96154,0.9299661,0.2134189,-7.1161595,384.13085,3.0446695,0.70993165,0.61456225,0.348045,0.1832802,91.1217345,76.3876475,-7.37755,38.32741
3,12.25,-1.026194,-369.8778,-144.0515,-32.28268,1.2667025,0.26107035,-6.700934,409.247875,2.8633505,0.7285604,0.5287382,0.3595028,0.1799998,101.77474,85.373087,-6.96985,34.6927225
3,12.75,-1.305298,-329.3364,-141.91365,-27.90539,0.99469845,0.24547525,-6.875419,409.84465,2.9761255,0.64150305,0.52697775,0.3599835,0.2029512,84.966566,71.2542565,-7.19475,36.0659875
3,13.25,-1.587882,-304.3414,-218.4644,-34.16886,1.095295,0.2697867,-6.9781775,409.42345,2.878706,0.85045115,0.53880105,0.41302445,0.19994245,70.6520125,59.2529695,-7.2872,35.3420225
3,13.75,-1.4765355,-357.5234,-180.420625,-34.9202,1.06578,0.24288675,-7.1449205,409.31585,2.8143845,0.67650705,0.56184015,0.33994195,0.19099775,84.8535935,71.1838305,-7.466,32.655425
3,14.25,-1.417228,-304.0464,-211.9464,-18.8481,1.2296875,0.269966625,-7.25595,408.1705,2.861481,0.76752775,0.51855825,0.355858125,0.181892125,82.666788,69.380933,-8.2953,33.95378
3,14.75,-1.130234,-267.7326,-120.7216,-29.67092,1.25647125,0.22108425,-6.9903055,409.23555,2.902187,0.7424025,0.528506125,0.358078375,0.15625805,69.6518295,58.4367995,-7.28115,33.76799
