DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
3,1.75,0.32525,-1.50975,-7.548,0,22.8275,94.5,0.06,394.05,398.88525,403.7,412.40175,414.55,420.9455,99.3955,-0.196,412.339,436.322,-32.46775,0,1.20625
3,2.25,0.744,-1.213,-6.4405,0,22.7175,94.73,0.061,396.00725,400.916,404.7,412.19175,416.3,421.1945,99.3845,-0.176,413.1915,435.9335,-31.24925,0,1.171
3,2.75,0.9335,-1.55925,-6.136,0,22.68,95.26,0.057,394.925,401.621,406.55,413.171,417.245,421.664,99.3675,-0.2,413.2875,435.3575,-31.1015,0,1.1215
3,3.25,0.934,-1.799,-6.816,0,22.64,95.5,0.06475,396.5065,402.52375,407.19,413.00775,417.025,421.398,99.3545,-0.16575,413.71625,435.3445,-31.3995,0,1.12
3,3.75,0.6295,-1.56775,-7.799,0,22.64,95.56775,0.065,396.5455,402.95675,408.02075,413.91125,419.353,422.5,99.357,-0.13925,414.10125,434.863,-30.28525,0,1.11875
3,4.25,1.28475,-1.376,-8.621,0,22.59,95.7,0.065,397.41,403.182,408.125,414.321,420.38575,423.68975,99.3495,-0.1195,415.03475,434.8235,-28.3925,0,1.146
3,4.75,1.14225,-1.51825,-8.604,0,22.54,95.535,0.063,398.0495,403.2305,408.197,414.9105,420.229,424.6355,99.3525,-0.12775,416.59225,434.6175,-28.964,0,1.095
3,5.25,1.095,-2.00675,-8.64,0,22.5,95.8,0.063,398.771,404.051,408.95,415.9,420.3315,424.7315,99.35675,-0.1,416.7,434.284,-28.67775,0,1.14225
3,5.75,1.264,-1.52,-9.733,0,22.44,95.9,0.07,398.434,403.76925,408.2275,415.10775,419.5,424.1,99.392,-0.073,416.06025,434.14125,-29.4015,0,1.20925
3,6.25,1.91875,-1.89475,-10.5105,5.2965,22.42475,95.635,0.072,398.542,403.95,408.186,413.776,418.31325,421.35,99.402,0.499,415.91,434.309,-18.40775,6.7015,1.23875
3,6.75,2.801,-0.96125,-11.25,31.215,22.4225,95.671,0.0905,400.088,403.51,404.2145,408,413.024,418.3,99.439,3.88,417.19,434.812,9.04925,60.665,1.26
