DOY2,HR2,CO2,H2O,FC,SC,G_1_1_1,G_1_1_2,G_1_1_4,H,LE,WS,USTAR,TA,PA,RH,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_3_1,TS_1_4_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
9,22.25,413.633,13.612625,2.233075,1.33922,-6.475,-3.4845,-19.965,-3.126055,7.70336,2.6625,0.312633,11.13885,92.99585,88.025,3.8248825,12.49725,0.3614615,10.71,11.84,11.33,-16.759,0.403581,0,0.124,1.819,334.90875,361.67875,3.10638
9,22.75,414.96125,13.5122,2.11552,1.3779625,-6.403,-3.70475,-21.385,-3.4055725,5.5059675,2.6565,0.3094095,10.78,92.999475,89.225,3.463735,12.2526,0.385611,10.6225,11.78,11.3125,-18.59175,0.367794,0,0.019,1.74325,335.09375,360.017,3.0121225
9,23.25,415.31025,13.43775,2.343185,1.548485,-6.64825,-4.087,-22.21375,-1.94225,7.23243,2.58662,0.292129,10.486325,93.002,90.225,3.24958,12.0168,0.3856985,10.52,11.7225,11.31,-16.90875,0.544487,0,0.0485,1.792,333.306,358.53,2.9361675
9,23.75,417.8945,13.363075,2.312035,1.6491925,-6.7505,-4.5395,-23.6325,-2.7488875,7.7907475,2.65496,0.2816895,10.349675,93.0117,91,3.126,11.7851,0.391964,10.390375,11.66,11.31,-18.00575,0.276038,0,0.039,1.7845,334.836,357.5285,2.9198775
10,0.25,412.313,10.0192,1.44,0.592804,-4.703,-3.74025,-14.555,-3.601645,10.618275,3.119465,0.37231125,5.10015,93.1057,93.975,1.976905,6.521445,0.34615425,5.73375,7.24125,7.86425,-9.97975,0.44308475,0,0.1054,1.54075,318.048,336.1535,1.688295
10,0.75,413.1475,9.9169175,1.4363825,0.46634,-4.685,-3.55775,-15.20375,-2.749945,9.84557,3.116095,0.38209075,5.0266725,93.112925,94,1.9050375,6.41097,0.344424,5.70125,7.20325,7.86625,-10.74625,0.27918,0,0.086,1.4915,317.874,335.80875,1.660645
10,1.25,413.541,9.928895,1.54112,0.538463,-4.68675,-3.55075,-14.85,-2.68655,10.22635,3.05011,0.4024315,4.82,93.12105,94.4,1.86992,6.12333,0.342006,5.644,7.16725,7.849,-8.7911,0.32736,0,0.118583,1.494,318.292,334.685,1.69344
10,1.75,413.2045,9.85324,1.55986,0.482835,-4.9215,-3.66075,-15.605,-2.99503,8.97388,3.1331325,0.39712225,4.71126,93.12635,94.7,1.93668,6.10892,0.35527475,5.61225,7.15225,7.84575,-7.43,0.407355,0,0.154,1.469,317.79075,334.056,1.6323275
10,2.25,411.821,9.83309,1.69048,0.396607,-5.049,-4.128,-15.8,-4.0337775,8.451565,3.11661,0.39712075,4.59717,93.12095,95.1,1.8463725,6.0866475,0.33788325,5.586,7.129,7.85025,-6.74525,0.342728,0,0.1076335,1.5395,316.2565,333.9915,1.647905
10,2.75,411.977,9.82106,1.86817,0.42570875,-4.71925,-4.0525,-16.54,-2.4344275,10.8777,3.1765225,0.41874425,4.49631,93.120675,95.3,1.779825,6.050965,0.35402875,5.591,7.10225,7.84925,-6.3255,0.34452,0,0.055,1.46075,316.243,334.0675,1.63027
