DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,PPFD_IN_1_1_1
2,2.75,-0.2120495,-26.18415,0.1466345,0.088368,0.909336,0.169412,-6.05623,401.0175,3.16648,0.432839,0.369011,0.245108,0.0907,-7.25481,97.7487,-16.8046,-8.00127,-11.8546,1.12283,1.24996,-0.1480495,-0.4125925
2,3.25,-0.215075,-21.8687,-0.3094655,0.05,0.9002675,0.160597,-6.09746,403.0125,3.168935,0.394904,0.3256915,0.2360625,0.08435,-7.03976,97.751275,-15.905625,-7.9078475,-11.6393,1.12418,1.26075,-0.1365395,-0.43410425
2,3.75,-0.182132,-23.060325,0.167418,0.028125,0.87961975,0.16994425,-5.2987025,401.8175,3.32084,0.42358375,0.39195625,0.24992475,0.093725,-6.16217,97.75025,-17.16765,-7.850825,-11.3544,1.121705,1.2620475,-0.1403925,-0.559499
2,4.25,-0.1981275,-20.7433,0.006,0.12130475,0.98093025,0.190127,-5.163565,402.429,3.391375,0.46475925,0.40917675,0.2672435,0.0824,-5.84665,97.76405,-16.7194,-7.877425,-11.65155,1.10423,1.2451425,-0.1787835,-0.527792
2,4.75,-0.227664,-20.195925,-0.30727875,-0.057525,0.89797625,0.1772945,-4.6045475,402.0195,3.429895,0.48131275,0.393043,0.271934,0.09105,-6.07707,97.7678,-15.5812,-7.806575,-11.78145,1.090535,1.232595,-0.17481175,-0.53088
2,5.25,-0.230524,-20.0552,1.434785,-0.207818,0.947432,0.175561,-4.66118,401.6655,3.4544675,0.449016,0.399291,0.252332,0.0836,-5.977815,97.7533,-16.1386,-7.778555,-11.8177,1.08441,1.224105,-0.156859,-0.364712
2,5.75,-0.2321725,-22.0072,-0.02065,-0.1590425,0.89775175,0.16937525,-4.5840125,402.3875,3.38388,0.439039,0.3784875,0.22978575,0.0836,-5.92031,97.7564,-14.8308,-7.788375,-11.80625,1.07723,1.2018775,-0.15153975,-0.117799
2,6.25,-0.21917675,-19.5449,-0.283934,0.0991,1.003198,0.167131,-4.958835,402.1745,3.39208,0.4164895,0.36566825,0.2385095,0.097775,-5.894785,97.77295,-13.65325,-7.83538,-11.7707,1.069135,1.1960025,-0.15404075,-0.116707
2,6.75,-0.22077075,-23.63985,-0.1303945,-0.0438,0.927523,0.171449,-4.90523,402.274,3.550475,0.45334,0.379897,0.222305,0.0856,-6.001145,97.78225,-13.4661,-7.86906,-11.9364,1.06944,1.179305,-0.11269375,-0.115056
2,7.25,-0.2047835,-23.5314,0.0525,0.12026575,0.93543,0.193887,-5.02512,402.518,3.459675,0.460699,0.406442,0.279557,0.0851,-6.4832975,97.783075,-12.533475,-7.92148,-11.878375,1.065385,1.17584,0.53975275,0.5841585
2,7.75,-0.19973925,-20.734925,0.596643,0.0475,1.05394,0.188527,-4.94789,402.381,3.5715875,0.48528,0.445743,0.283582,0.0868,-6.2529475,97.818025,-6.04725,-8.1856275,-11.928725,1.067915,1.1673525,10.2033,12.974425
2,8.25,-0.218473,-14.1207,1.035594,0.05565,1.05131,0.197444,-4.98537,402.7285,3.47516,0.493283,0.471576,0.30549,0.102837,-5.71599,97.846975,-0.2142275,-8.0892525,-12.006925,1.0666375,1.161195,34.235,34.95025
2,8.75,-0.249109,-5.7549,4.078475,0.1588425,1.26041,0.238459,-5.08239,402.83075,3.6857,0.608151,0.540614,0.333371,0.10141,-5.7427175,97.821425,6.9213675,-8.3682175,-12.030575,1.0562025,1.16781,59.31055,126.05425
2,9.25,-0.266236,6.78527,9.6213,-0.13781175,1.44938,0.270769,-4.63218,403.2035,3.68611,0.695581,0.658351,0.410096,0.139208,-5.5308375,97.832125,12.9358,-7.9311575,-12.0076,1.043825,1.1672275,83.73225,165.60525
2,9.75,-0.288776,12.3647,13.22735,-0.0822,1.47458,0.293147,-4.51741,403.579,3.70938,0.698409,0.678527,0.392382,0.168166,-4.82977,97.7739,25.0058,-7.6547,-11.9269,1.06002,1.19414,130.222,243.0925
2,10.25,-0.32742175,17.290925,11.99635,-0.26962825,1.4579725,0.294201,-4.176895,403.749,3.6426125,0.76322025,0.7277135,0.41157125,0.171139,-4.28963,97.788275,32.42655,-7.4276525,-11.901125,1.031335,1.19515,187.6805,396.959
2,10.75,-0.374186,20.000975,16.999175,-0.6332215,1.616035,0.3186835,-4.03222,404.116,3.743185,0.826473,0.8042255,0.429578,0.1869315,-4.09096,97.78585,39.89485,-7.3788725,-11.949925,1.0433875,1.207915,238.216,324.264
2,11.25,-0.3615905,28.3369,18.05475,-0.32231325,1.728345,0.323431,-3.88499,404.3975,3.6772,0.8325225,0.7723045,0.440493,0.1770295,-3.7078,97.80595,41.67635,-7.21543,-11.65915,1.068365,1.230325,279.11225,423.4445
2,11.75,-0.35231,28.04955,17.47415,-0.3435355,1.801115,0.35466225,-3.517945,404.193,3.752145,0.91068975,0.832077,0.460215,0.18170225,-2.8637625,97.79135,43.755,-6.842865,-11.599,1.075335,1.2724675,245.99225,521.9075
2,12.25,-0.3583555,27.9029,19.6123,-0.1722385,1.767355,0.3436675,-2.96081,403.4885,3.67393,0.856043,0.8118205,0.4604285,0.1883055,-2.2509175,97.7318,51.79445,-6.686095,-11.4233,1.092035,1.288035,262.015,418.6985
2,12.75,-0.41934875,27.914975,19.5596,-0.12535475,1.77506,0.3413005,-1.7228125,404.146,3.70005,0.93086875,0.88782475,0.48184625,0.196862,-1.62672,97.73595,51.21095,-6.536845,-10.91085,1.106575,1.29795,279.70025,390.5345
2,13.25,-0.3687275,28.89205,18.42345,-0.303033,1.74501,0.331958,-1.47821,402.448,3.7034,0.921982,0.875165,0.476505,0.211823,-1.51545,97.7203,51.948,-6.469075,-9.92265,1.14272,1.3536975,272.49625,348.835
2,13.75,-0.39761925,28.359075,15.8169,-0.3689565,1.79901,0.356112,-1.32098,403.21,3.70071,0.953413,0.872212,0.485062,0.206829,-1.78725,97.7048,45.5563,-6.426715,-8.86574,1.143855,1.3609075,241.45475,260.1305
2,14.25,-0.364431,24.489,16.238675,-0.0981,1.80477,0.347873,-1.37652,401.89,3.845085,0.939003,0.883602,0.458145,0.189578,-2.0359475,97.6771,34.7366,-6.403035,-8.44045,1.169505,1.40219,204.359,244.0545
2,14.75,-0.355887,17.4428,17.5634,-0.128983,1.83792,0.348227,-2.46213,402.3,3.82809,0.910416,0.890147,0.475741,0.170926,-2.4367875,97.67665,37.6019,-6.389105,-8.51261,1.18769,1.4235075,176.38875,205.6265
2,15.25,-0.343604,13.3224,11.9251,-0.0822,1.79788,0.333248,-2.08605,402.723,3.864165,0.880646,0.810998,0.472747,0.153785,-2.3525025,97.64005,31.18975,-6.34387,-7.569125,1.23101,1.4373625,170.681,165.4925
2,15.75,-0.3132065,8.9990375,9.8963625,-0.07026625,1.643265,0.313652,-2.0614,401.80125,3.78249,0.843986,0.811352,0.449152,0.12432725,-2.454025,97.6193,24.56075,-6.32604,-7.784255,1.2452825,1.48291,127.918,130.4705
2,16.25,-0.288009,-1.58533,8.65264,-0.0275,1.5897275,0.29967625,-2.2160075,401.7585,3.62898,0.7981625,0.7248465,0.420868,0.10240425,-2.820465,97.626875,11.799925,-6.353295,-7.8507225,1.256085,1.53929,83.6564,87.85175
2,16.75,-0.316164,-10.507375,5.25734,-0.0251,1.3920825,0.27567925,-2.2456025,401.5955,3.61342,0.71480025,0.677622,0.37153775,0.0998855,-2.914125,97.647,3.170455,-6.346845,-7.969935,1.255935,1.5569,54.1613,50.41145
2,17.25,-0.27610775,-17.43615,2.56413,0.078,1.32641,0.250561,-2.27429,400.788,3.59569,0.627196,0.580052,0.339365,0.0983,-3.11005,97.651875,-6.74247,-6.378585,-7.9017475,1.258995,1.55258,24.3832,15.0599
2,17.75,-0.219156,-28.8996,0.0885595,0.10206225,1.1109825,0.210027,-2.6363975,400.7255,3.52504,0.5227325,0.4483865,0.2696,0.0986,-3.498,97.6754,-24.23465,-6.43748,-7.96366,1.26074,1.54914,4.97091,1.722136
2,18.25,-0.23833175,-29.688875,-0.013025,0.011245,1.01463525,0.177676,-3.038125,401.03275,3.6588575,0.4557455,0.41802725,0.22633925,0.095625,-3.85954,97.6997,-31.965325,-6.566985,-8.816925,1.2588725,1.54592,0.0788,-0.313925
2,18.75,-0.20008475,-23.951175,0.04274575,0.110589,0.78309875,0.14338175,-3.0970425,400.09225,3.63862,0.39355625,0.3493595,0.20125725,0.0896,-3.888965,97.696025,-31.262375,-6.5829525,-10.0319625,1.25691,1.53314,-0.103649,-0.361931
2,19.25,-0.222233,-23.7325,0.22138,0.05665,0.7362225,0.11766925,-3.1760725,399.825,3.69193,0.34893525,0.3189605,0.194472,0.097075,-4.14434,97.7243,-27.27825,-6.71139,-10.28225,1.250765,1.47467,-0.115025,-0.3536595
2,19.75,-0.2338705,-23.5149,0.385346,0.2056385,0.74502875,0.117329,-3.21012,400.1785,3.65378,0.3609505,0.328351,0.18017025,0.09175,-4.362765,97.776575,-24.414525,-6.7447175,-11.215525,1.24518,1.46409,-0.110137,-0.3292795
2,20.25,-0.228338,-26.588825,0.7163955,0.171201,0.8125495,0.12811525,-3.462365,400.749,3.702965,0.374054,0.3218995,0.1942165,0.10445975,-5.063715,97.806725,-28.48375,-6.7266225,-11.320275,1.23663,1.40521,-0.117197,-0.3525865
2,20.75,-0.2334785,-30.788675,-0.009875,0.149243,0.81125925,0.124096,-3.77609,400.95475,3.652465,0.3797875,0.2989045,0.18277125,0.10409275,-5.232485,97.7928,-29.299425,-6.8039425,-11.376775,1.2136475,1.3756,-0.135043,-0.393243
2,21.25,-0.25035175,-30.0033,0.33899075,0.16546475,0.89089,0.140005,-4.18766,401.014,3.5674125,0.383674,0.3539695,0.202666,0.087,-5.45657,97.80135,-27.912775,-6.86027,-11.639325,1.201375,1.37404,-0.179541,-0.360699
2,21.75,-0.210614,-26.6408,0.1476015,0.105876,0.802995,0.134753,-4.36987,401.415,3.63912,0.384576,0.3251665,0.179421,0.098,-5.92377,97.7727,-30.74655,-6.9762825,-11.839325,1.1964525,1.40311,-0.194803,-0.294782
2,22.25,-0.225988,-27.4826,0.177536,0.226392,0.82406575,0.11984225,-4.438675,402.1145,3.653215,0.35683525,0.29438325,0.16518325,0.0988,-6.35156,97.74475,-26.736,-7.46554,-11.74605,1.1968825,1.3678,-0.167403,-0.2661935
2,22.75,-0.22915575,-26.218525,0.1891115,0.059075,0.90296875,0.14818275,-4.9687425,401.061,3.5667675,0.3738265,0.32976425,0.20175525,0.10827725,-6.4416575,97.70715,-18.4222,-7.749525,-11.8609,1.186175,1.3408575,-0.151035,-0.2063435
2,23.25,-0.229057,-24.45095,0.23692475,0.00345,0.8884425,0.13443925,-4.9983325,402.553,3.6526375,0.37175325,0.37383675,0.1968615,0.093975,-6.5103525,97.7182,-16.53015,-8.03329,-12.08585,1.177215,1.3388075,-0.1461515,-0.2840255
2,23.75,-0.23236525,-26.91185,0.300535,0.049925,0.86588025,0.13239425,-4.9198425,402.886,3.6339275,0.35477375,0.31872025,0.17953775,0.090925,-6.4076125,97.74895,-18.4122,-7.95775,-12.0621,1.170105,1.324125,-0.17014675,-0.3012265
3,0.25,-0.15021925,-22.3614,-0.228067,-0.023975,0.642008,0.09365,-2.6107575,403.75975,3.7781425,0.29316425,0.25392325,0.15008225,0.10716875,-3.95639,98.235375,-33.35535,-10.898575,-13.3783,1.1546775,1.608175,-0.17908225,-1.09655775
3,0.75,-0.17091525,-23.881325,-0.291853,0.0311,0.71923475,0.087875,-2.9436325,403.894,3.74863,0.29266775,0.245213,0.14028525,0.10330625,-4.10129,98.216125,-34.10915,-11.310675,-13.6309,1.14045,1.609115,-0.19144325,-1.0562435
3,1.25,-0.13843675,-23.4955,-0.469237,0.058125,0.70335775,0.09045,-3.121925,404.22525,3.82313,0.28225925,0.23950625,0.14077625,0.093,-4.43089,98.21175,-33.575125,-11.5901,-14.08685,1.139,1.5657525,-0.177601,-1.1133385
3,1.75,-0.1819325,-20.0048,-0.2617445,0.09915975,0.627876,0.083525,-3.333575,404.132,3.8347825,0.28772,0.25688625,0.12974125,0.097125,-4.5935,98.190225,-32.05845,-12.02665,-14.2154,1.13729,1.5235375,-0.15731475,-1.361835
3,2.25,-0.1445805,-19.49255,-0.323747,-0.0227,0.6405905,0.08505,-3.55734,404.432,3.812425,0.274168,0.2585175,0.140454,0.09735,-4.49966,98.178225,-29.9402,-12.56245,-14.23065,1.1344625,1.5101775,-0.17795675,-1.5702225
