DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD
5,22.25,420.0125,0.152593905513949,17.7941,5.70896290208317,11.79865,1.44802,-3.075965,-3.9873,17.2089,4.79281,98.7872,25.92,-0.01994055,0.4034635,0.98419796298637,0.757236742366927,0.511610688746646,4.23115,382.36225,421.81725,-2.3673775,1.50244,-44.35435
5,22.75,422.07775,0.152365502769994,17.66205,5.516098748974,11.1151,2.022745,-2.825525,-4.182105,20.0869,5.68833,98.7769,25.7265,-0.01405975,0.4110005,0.999054703803697,0.787154293216005,0.50488680367455,4.367895,378.0875,419.603,-1.9527675,1.594105,-45.0008
5,23.25,421.574,0.158519084024606,17.4361,5.33871871540009,8.95721,2.55567,-2.76947,-3.607705,16.00325,7.017505,98.76295,25.483,-0.01574725,0.4166505,0.976429416951383,0.793928212219712,0.490908641547636,4.21804,379.7775,417.7255,-2.0793475,1.6048325,-42.73525
5,23.75,423.5195,0.164577033634708,17.386325,5.48198497208905,9.8222,2.5503575,-2.7811775,-4.04669,19.1453,7.00078,98.7863,25.3025,-0.01721085,0.417544,1.03924939099609,0.75510725839771,0.518270417907645,4.443335,387.347,415.60225,-1.672525,1.4422325,-35.4802
6,0.25,417.972,0.160738565146743,19.31055,6.15721643030407,8.348775,2.86508,-1.651,-4.5504725,17.8748,5.8080275,98.6466,26.72825,-0.0132687,0.3455145,0.809817295494347,0.663883003267276,0.438014987621512,4.04844,393.49075,440.0445,-2.087205,1.53101,-50.861825
6,0.75,419.8595,0.205022925547364,19.32185,6.03810078815856,8.48898,3.23396,-3.467945,-3.7924,17.60115,6.90137,98.6329,26.3990000000001,-0.0158447,0.328277,0.803042962736117,0.716760769015716,0.442100667269345,4.05926,392.11075,437.7905,-1.9252175,1.5260075,-51.6126
6,1.25,420.2,0.197562963162431,19.346225,5.79552752306361,8.7503625,1.943945,-3.6948875,-2.12895,21.73265,5.10477,98.6314,26.345,-0.0146449999999999,0.357779,0.849616972523501,0.731445144901516,0.462575399259407,3.95229,391.273,435.93075,-2.2583525,1.5459225,-53.8879
6,1.75,421.07025,0.197866150301707,19.618575,5.98498955721729,8.2974975,2.4450125,-3.7891275,-2.05747,20.37495,5.7471025,98.6256,26.0170000000001,-0.0179294,0.362035,0.796430160152163,0.71186304862663,0.465956006507052,4.00745,390.862,434.835,-1.75904,1.45758,-48.1769
6,2.25,426.0705,0.209667796783593,19.277925,6.19934278448129,8.6238675,3.4425225,-3.3507,-2.13689,18.18275,7.2231725,98.6243,25.878,-0.0122855,0.347349,0.786180004833499,0.712546138856987,0.464190693573234,4.11263,390.87425,433.52275,-1.92342,1.3199675,-48.65305
6,2.75,425.3875,0.171751238123161,19.10225,6.03108078573615,7.81213,2.76929,-3.3407,-2.18711,15.92305,6.045735,98.608,25.828,-0.0155264,0.323381,0.823828865723944,0.698688056288355,0.447070464244732,4.02569,393.618,431.9925,-1.7145225,1.33315,-48.719525
6,3.25,427.663,0.193632125433772,19.1833,5.97836097939895,9.15336,3.03452,-2.9679525,-1.40136,17.2907,5.814905,98.5982,25.65,-0.0145420999999999,0.324658,0.805532122264531,0.705114884256459,0.448149528617402,3.96604,398.812,432.208,-1.59564,1.45235,-44.9373
6,3.75,428.465,0.20326931754698,19.3755,5.42928172044885,9.8710675,2.68803,-2.288845,-0.918835,14.754975,4.48181,98.6054,25.635,-0.0118723,0.339314,0.794637024055638,0.686341023107318,0.445928245348957,3.87683,396.33775,432.27475,-1.73808,1.4365675,-46.205075
