DOY2,HR2,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
4,3.25,-0.4155,-1.566,-0.776,-1.0125,101.90755,84.55,-16.665,-24.2055,2.626,3.974,-5.562,-4.5155,200.4,225.9
4,3.75,-0.588,-1.6565,-0.7615,-1.175,101.9173,84.4,-16.62,-24.869,6.405,6.733,-5.065,-4.323,203,226.2
4,4.25,-0.643,-1.792,-0.7215,-1.216,101.913,84.7,-16.72,-22.545,7.77,6.739,-4.644,-3.76,213.2,227.1
4,4.75,-0.739,-1.922,-0.721,-1.305,101.9157,84.4,-16.62,-19.213,15.4,13.97,-0.669,-0.072,219,228.7
4,5.25,-0.858,-2.0495,-0.7215,-1.492,101.9144,83.8,-16.52,-11.94,32.91,31.25,8.83,7.818,209,228.5
4,5.75,-0.86,-2.114,-0.7215,-1.631,101.8971,83.9,-16.45,-14.96,59.31,60.9,21.4,18.85,205.9,229.4
4,6.25,-0.966,-2.18,-0.7465,-1.752,101.8979,83.7,-16.46,-7.93,94.3,94.4,45.29,33.14,209.5,231.3
4,6.75,-0.966,-2.2765,-0.7955,-1.622,101.9139,83.6,-16.53,-5.6,140.9,136.2,68.27,58.99,205.7,230.9
4,7.25,-0.993,-2.328,-0.8325,-1.724,101.9171,83.1,-16.46,-2.01,204.2,196.1,94.8,85.4,200.7,231.1
4,7.75,-1.088,-2.2255,-0.8665,-1.811,101.9196,82.6,-16.29,2,273.6,254,123,113.3,198.2,230.4
4,8.25,-1.179,-1.8195,-0.887,-1.86,101.9159,81.9,-15.9,6.78,351.3,332.4,167.1,147,189,230.9
4,8.75,-1.093,-1.556,-0.887,-1.7465,101.8813,81.6,-15.855,12.65,422.15,397.15,203.55,178.1,196,233.45
4,9.25,-1.0725,-1.498,-0.887,-1.4065,101.87595,81.1,-15.52,17.15,507.3,465.2,241.5,214.05,193.75,234.75
4,9.75,-1.084,-1.395,-0.889,-1.0975,101.8707,80.7,-15.075,22.9,581,533.7,277.6,243.05,191.6,236.5
4,10.25,-1.052,-1.221,-0.889,-0.721,101.8677,79.38,-14.74,28.4,662.1,595.55,320.05,278.75,191.55,238.6
4,10.75,-1.033,-0.924,-0.887,-0.7755,101.85835,78.685,-14.27,33.25,745.45,663.05,352.3,307.8,192.95,240.15
4,11.25,-0.9315,-0.775,-0.887,-0.7375,101.86045,77.45,-13.655,34.4,806.5,714.6,383.55,332.95,194.6,242.65
4,11.75,-0.859,-0.2985,-0.8865,-0.326,101.861,78.12,-13.5,35.1,868,771.7,426.8,363.3,195.6,244.2
4,12.25,-0.808,-0.222,-0.886,-0.1515,101.86265,77.03,-13.245,39.5,923.5,841.5,448.7,384.65,190.55,244.85
4,12.75,-0.743,-0.307,-0.874,-0.0295,101.8548,77.07,-12.98,40.5,951,852.5,461.9,392.55,190.55,245.9
