DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
10,4.75,89.65,-7.7275,-0.03240244,0.1541422
10,5.25,89.75,-7.7075,-0.03593854,0.1607289
10,5.75,90.05,-7.6955,-0.03109349,0.15128945
10,6.25,90.2,-7.732,-0.02810317,0.1608245
10,6.75,90.45,-7.6955,-0.02592813,0.1925073
10,7.25,90.55,-7.8175,-0.015538305,0.3681008
10,7.75,90.8,-7.8415,0.45745495,1.2082835
10,8.25,90.35,-7.8095,4.660862,5.290969
10,8.75,90.4,-7.555,17.088405,21.70032
10,9.25,90.35,-7.4515,37.289975,47.115965
10,9.75,90.45,-7.3905,67.346265,81.22906
10,10.25,90.35,-7.452,103.07845,120.168
10,10.75,90.25,-7.2505,149.4967,160.86765
10,11.25,89.9,-7.1295,188.53755,202.3296
10,11.75,90.3,-7.2605,217.25105,235.32745
10,12.25,89.85,-7.091,229.5388,256.40165
10,12.75,89.7,-6.7605,254.4935,272.85135
10,13.25,89.8,-6.788,253.44385,277.53735
10,13.75,90.15,-6.6535,243.1773,267.40555
10,14.25,89.4,-6.567,219.6684,251.3644
10,14.75,90.3,-6.301,217.6192,232.357
10,15.25,89.9,-6.369,171.2882,204.7414
10,15.75,90.2,-6.542,143.9443,186.7869
10,16.25,90.1,-6.67,97.50319,118.217
10,16.75,89.7,-6.872,69.73096,84.14578
10,17.25,89.8,-6.704,45.60566,51.62433
10,17.75,90.3,-6.742,21.32921,22.54631
10,18.25,90.2,-6.6175,5.5296975,7.098334
10,18.75,90.3,-6.767,0.6123428,1.485708
10,19.25,90.6,-7.046,0.005071953,0.2704271
10,19.75,90.8,-7.184,-0.0335354,0.134701
10,20.25,90.4,-7.159,-0.03531219,0.1015047
10,20.75,90.6,-7.614,-0.03512611,0.1088219
10,21.25,89.7,-7.579,-0.03099943,0.115536
10,21.75,89.7,-7.704,-0.0326279,0.11279255
10,22.25,90.8,-7.912,-0.0318346,0.1268025
10,22.75,90.45,-8.1,-0.03198355,0.10995785
10,23.25,90.2,-8.06,-0.03050987,0.1305523
10,23.75,90.7,-8.12,-0.03304225,0.1153776
11,0.25,78.15,-17.165,-0.039324655,0.3325514
11,0.75,78.8,-17.03,-0.03901535,0.24747335
11,1.25,78.15,-17.29,-0.03990668,0.2868736
11,1.75,77.9,-17.99,-0.039583955,0.2900812
11,2.25,77.7,-17.47,-0.037956965,0.2775012
11,2.75,77.4,-17.535,-0.040759045,0.2951529
11,3.25,77.7,-17.665,-0.032845715,0.291172
11,3.75,77.25,-18.005,-0.037525535,0.3313572
11,4.25,77.2,-18.125,-0.038184495,0.2854144
11,4.75,77,-17.94,-0.03515416,0.2807947
11,5.25,77.4,-18.29,-0.035573705,0.26340345
11,5.75,77.15,-18.05,-0.03758674,0.2651518
11,6.25,76.6,-18.31,-0.0372804,0.2667721
11,6.75,77.15,-18.14,-0.03559311,0.27381555
11,7.25,77.4,-18.685,-0.03824795,0.27421305
11,7.75,76.6,-18.35,-0.03380948,0.28523235
11,8.25,76.6,-17.985,-0.035086115,0.2806142
11,8.75,76.6,-17.705,-0.02717133,0.283144
11,9.25,77.1,-17.735,0.021505245,0.61488315
11,9.75,77.1,-17.795,0.96531205,0.9137183
11,10.25,76.8,-17.37,5.222222,4.8181735
11,10.75,77.1,-18.165,13.51358,13.460495
11,11.25,76.95,-18.17,25.94218,26.219365
11,11.75,76.95,-17.23,43.008535,41.82028
11,12.25,76.85,-17.82,64.50409,64.41856
11,12.75,76.4,-16.8,72.79824,74.15438
11,13.25,76.65,-17.4,79.24434,76.365125
11,13.75,76.65,-17.085,69.98503,68.47219
11,14.25,76.55,-16.6,59.31204,56.23404
11,14.75,76.2,-16.26,40.96757,41.505165
11,15.25,77,-16.83,28.539245,25.258585
11,15.75,77.2,-16.77,13.9831,12.738575
11,16.25,77.3,-17.14,5.446746,4.207222
11,16.75,77.4,-16.67,0.8677407,0.8267767
11,17.25,77.8,-16.57,-0.0020447355,0.56837035
11,17.75,77.2,-17,-0.03371834,0.2944267
11,18.25,77.45,-16.39,-0.037128705,0.288709
11,18.75,77.85,-16.485,-0.038277365,0.2647861
11,19.25,77.75,-16.385,-0.036766585,0.2888691
11,19.75,77.95,-16.315,-0.039119365,0.2972348
11,20.25,77.95,-16.215,-0.0362902,0.331379
11,20.75,78,-16.65,-0.03744484,0.32082795
11,21.25,78.4,-16.6,-0.03464579,0.31921745
11,21.75,78.5,-16.625,-0.03498355,0.3099781
11,22.25,78.3,-16.575,-0.03664304,0.31118835
11,22.75,78.7,-17.435,-0.03786116,0.3154387
11,23.25,78.6,-17.57,-0.03491074,0.3317199
11,23.75,77.95,-18.14,-0.03450182,0.3241705
12,0.25,72.5,-24.765,-0.030660705,0.66324405
12,0.75,72.4,-25.205,-0.03009118,0.71410095
12,1.25,72.2,-24.625,-0.03071834,0.65720915
12,1.75,72.55,-26.56,-0.028634195,0.6976968
12,2.25,72.4,-26.87,-0.03185564,0.7336165
12,2.75,72.05,-26.68,-0.032971825,0.68958815
12,3.25,72.35,-26.365,-0.029543,0.65208055
12,3.75,71.95,-26.435,-0.029087495,0.6418185
12,4.25,71.85,-26.16,-0.03080884,0.63911155
12,4.75,71.45,-26.205,-0.03202163,0.6475171
