DOY2,HR2,FC,H,LE,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
6,3.25,11.36384925,-1.0450184,48.43417,0.41658065,22.77125,98.692875,100,4.7136225,4.38521975,0.940947926295605,0.701831116213252,0.469419666393446
6,3.75,7.426137,-2.19631,31.3642075,0.42490955,22.503875,98.69425,100,10.68829725,4.081001,0.977609808229945,0.760526133673262,0.490919362592185
6,4.25,7.5169845,-0.0589087500000079,32.26546,0.4528421,22.41285,98.709525,100,3.536652,4.269151,1.09796920745393,0.861164338450645,0.535024690892288
6,4.75,7.595196,-0.976146900000001,35.65342,0.424883125,22.13985,98.730035,100,4.425796,4.34940175,1.10164958750343,0.772566917376604,0.480910366776958
6,5.25,13.89598675,-2.005582275,34.0994,0.43237175,22.060125,98.742145,100,9.41216599999999,4.1060175,1.26086279086027,0.86295596643166,0.514972315265481
6,5.75,9.42418125,-2.59555225,51.48992,0.487807675,22.4179,98.7817725,100,4.66679099999999,4.3511865,1.24207138029392,1.03699083891807,0.610065793968292
6,6.25,14.090773,2.69785,46.34671,0.447598,24.2631,98.803935,100,3.94321325,4.592708,1.16825590694385,1.00277918752573,0.567473737285808
6,6.75,7.473635,16.88186,74.52335,0.4991235,26.48375,98.812705,100,11.8619625,4.711091,1.2510322187844,1.07483435753143,0.613460983053512
6,7.25,4.33086,35.44155,96.68544,0.5187826,27.901275,98.830945,100,11.9444,4.788862,1.33484689799327,0.94300103708973,0.598665959000767
6,7.75,5.569232,69.8355,149.685825,0.53017685,28.526375,98.8413675,100,13.10336,5.39792175,1.37086317409917,1.20601739341229,0.625347659494676
6,8.25,1.53345575,101.596375,172.4385,0.5664214,29.097675,98.83737,100,12.881085,5.1045895,1.35837554075811,1.16329521306228,0.639095567443061
6,8.75,1.74369,124.8965,227.01425,0.5401751,30.593325,98.8371775,100,14.1638,5.617382,1.41003706306192,1.25876048556651,0.647840287207646
6,9.25,3.585988,137.5113,259.2833,0.57637405,30.520475,98.8450925,99.88435,17.2464875,5.770848,1.37438011031019,1.29042086295231,0.640208604733527
6,9.75,2.77981125,177.668825,283.35235,0.613743525,30.551625,98.84575,96.81071,17.62184,5.821683,1.45506889198849,1.39014563353694,0.686395290732371
6,10.25,8.77549599999999,199.0437,352.4548,0.56424315,31.08605,98.839235,97.154255,19.1342375,6.015826,1.6126370347013,1.51079365903924,0.716458589684492
6,10.75,1.8764445,246.902575,351.99935,0.560341,31.20205,98.8369025,97.247525,20.459875,6.3040845,1.65953749256865,1.4563707983063,0.73396873188355
6,11.25,2.336668,272.65935,365.22875,0.58248595,31.48565,98.817475,100,21.12024,5.924905,1.55633643363812,1.56406444448692,0.701045468720836
6,11.75,2.689714,242.4461,450.180875,0.6419365,31.93195,98.78422,98.962975,21.695725,6.34976975,1.68935532519521,1.50373813636414,0.719622469261148
6,12.25,2.251278,249.4471,382.6246,0.6240536,32.323825,98.752825,98.176325,22.9549375,6.223434,1.6938957716781,1.59524382081563,0.713445724339471
6,12.75,2.26707575,268.00155,430.7817,0.5856328,32.700425,98.728015,93.70411,23.900925,6.367742,1.71539999623017,1.66176234800499,0.698791940127213
6,13.25,3.134027,272.128475,415.5268,0.6246936,33.1179,98.69242,90.992685,25.6398225,6.350918,1.62087066705425,1.66224300378462,0.714175166130227
6,13.75,2.40370225,291.42125,371.80575,0.645664625,33.29175,98.66244,92.53029,27.2628725,6.93629875,1.67884831616894,1.55792971158477,0.721667871584389
6,14.25,2.469775,272.404525,419.995,0.693757274999999,33.847075,98.635725,98.143445,28.19521,6.818934,1.88615485740912,1.83454556655519,0.795690797144641
6,14.75,3.3477505,214.8992,354.53455,0.553143125,34.24555,98.6143625,94.8493825,27.96122,6.90769625,1.88938726884391,1.58086608140548,0.696896448975385
6,15.25,3.6502035,222.61345,358.219075,0.59889565,33.96975,98.58686,97.4421,28.4172375,6.7869605,1.78986730858876,1.6595996777956,0.697019916442281
6,15.75,2.7482965,195.19325,342.1911,0.586213,34.1695,98.58882,95.54682,28.02352,7.04053125,1.64506302805379,1.68127291051516,0.674450821720506
6,16.25,1.97271,167.6786,326.547575,0.558004125,34.3736,98.559715,88.63422,28.67908,5.96650575,1.81928949813135,1.65947655273121,0.66003430007655
6,16.75,2.4770375,170.9428,334.4818,0.6211428,33.9539,98.52794,87.9079875,28.834225,7.271356,1.68760592840894,1.5609028704316,0.663390566583058
6,17.25,2.80569,131.49425,288.0996,0.541520125,34.7199,98.50726,95.6991,29.55086,6.13644375,1.59254389480601,1.45836042647897,0.649826978939513
6,17.75,3.01079875,102.136375,233.6881,0.51198015,33.55785,98.505235,93.48031,27.8115575,6.0404245,1.46405857312089,1.36523910820332,0.64912891850461
6,18.25,3.79110725,75.4694,216.46045,0.588388375,32.50965,98.5242175,99.5000725,24.9062275,5.76722475,1.59428478945769,1.24055486956285,0.635655550990213
6,18.75,4.47606,38.0020075,156.048125,0.558581875,31.875125,98.546815,99.7930725,22.8407475,5.5274855,1.51341299300802,1.11900906599842,0.696424057173697
6,19.25,6.04349,5.624731,132.54235,0.49385995,30.599,98.575495,100,19.728045,5.0934075,1.42888405936551,1.0835593742544,0.683039402762644
6,19.75,6.165513,-2.15960425000001,114.26585,0.440280925,29.05895,98.591435,100,15.29948,4.8332335,1.37379314356707,1.03248219644136,0.510051893661656
6,20.25,8.1742025,-4.77798575000001,69.40735,0.4282295,27.2875,98.617355,100,12.35266,4.2741415,1.10170918593965,0.993824349924241,0.497441634514488
6,20.75,10.055896,-5.727968,64.1229325,0.4222201,26.63675,98.634995,100,10.6625525,4.368006,1.12017681021029,0.888894650531599,0.500912496998818
6,21.25,9.157159,-5.48338399999999,55.9923125,0.400396675,25.544125,98.6700475,100,9.444454,4.54545125,1.00798442424967,0.885321383394141,0.547181492759402
6,21.75,9.1962655,-5.25794125,52.44447,0.4229405,24.822375,98.70672,100,7.75879,4.824369,1.21557200039054,1.22286177437867,0.54971977949946
6,22.25,9.379408,-3.9197665,52.54685,0.37961025,24.738725,98.708995,100,6.49055,4.93848125,1.20510995348972,1.17928596491211,0.592409213331206
6,22.75,8.34328875,-5.728475,44.7317875,0.4239485,24.60945,98.69612,100,10.85224,4.526315,1.05607741906949,0.92481890119093,0.568682385404432
6,23.25,9.882612,-1.41505700000002,51.89818,0.5049766,24.0544,98.694965,100,5.309828,4.309956,1.3453934175246,0.966997661187644,0.552195258782326
6,23.75,8.940459,1.205061,46.6946,0.51039845,23.90185,98.698975,100,4.297124,4.9475695,1.21268738147661,0.938645640455927,0.574146605023547
7,0.25,12.142265,0.267907000000001,39.520965,0.436743975,25.905475,98.6964125,100,3.274526,3.77376925,0.954186905148786,0.83992386612849,0.495731848691115
7,0.75,13.70745,0.221705000000002,36.670795,0.43148205,25.659775,98.6900525,100,4.4661975,3.8708415,0.91153638095714,0.920417926718026,0.488301871430663
7,1.25,13.2607325,-3.920988,60.0297,0.4091475,25.60285,98.695525,100,3.66602025,3.5478845,1.0093498120105,0.78589488852774,0.443391225910398
7,1.75,16.3082175,-4.01617225000001,32.28181,0.3854742,25.118225,98.69199,100,2.8305275,3.456052,0.967982788629954,0.84483713482025,0.435154946039679
7,2.25,12.97403,-0.950703525000005,26.9646625,0.39039195,24.78855,98.69137,100,13.055695,3.4589595,0.903867190418163,0.876027371682019,0.436403107522382
7,2.75,13.31417,7.74315600000002,31.193875,0.3528105,24.70455,98.688965,100,9.75676800000001,3.335055,0.858652811415283,0.680208454446225,0.414157234090129
7,3.25,11.7525925,-3.1102615,30.931195,0.3523915,24.4924,98.69111,100,4.6345695,3.62712,0.921194228946789,0.622473734050881,0.401381033940085
7,3.75,16.46766,-3.0383125,34.733895,0.346398225,24.248575,98.695775,100,5.2374675,3.016155,1.0764162454609,0.927842894124517,0.405731909660111
7,4.25,14.931625,-4.466279,32.61062,0.302607325,24.248425,98.704635,100,3.1510025,2.7548885,0.729929062875206,0.568314540300733,0.363015381344482
7,4.75,14.000925,1.484099,29.197005,0.3663954,23.926975,98.72659,100,2.4306375,2.820347,0.731614007642125,0.638567666579875,0.418953331108905
7,5.25,12.603125,-5.405376,27.453275,0.307913125,23.525575,98.75903,100,4.34457899999999,2.59694375,0.745595677710285,0.97361218585951,0.357244314782279
7,5.75,14.138225,-1.390405,21.11913,0.293550875,23.969,98.7882875,100,4.1219145,2.43221375,0.837214083456968,0.583275302614727,0.347646158241301
7,6.25,8.6638905,1.3173725,46.19028,0.32372245,25.596075,98.8013925,100,5.11116375,2.6645695,0.736010869484955,0.587225406938525,0.378155273538497
7,6.75,4.992233,21.273455,76.0106925,0.348821375,27.25325,98.8174625,100,11.57858,3.023649,0.758470197388852,0.614618937501655,0.404445553533131
7,7.25,0.95183,47.573675,113.9805,0.4607991,28.365,98.8414625,100,12.78235,3.13035,1.00491350035379,0.761603143735938,0.490404714670843
7,7.75,0.30880797,56.1299525,170.68715,0.512543075,29.66085,98.8524725,100,11.889825,3.69684825,1.05339991550271,0.873091667932104,0.56148733022362
7,8.25,1.685261,79.40149,161.645525,0.504659175,30.0264,98.86418,100,15.2916,4.07177175,1.15838894855246,0.991862690902554,0.545636999302513
7,8.75,0.811247549999999,120.249575,269.18935,0.55530515,30.82315,98.8726825,100,16.9750025,4.0136165,1.16543591746124,1.10269603836522,0.592210206480737
7,9.25,-1.574084,134.15165,288.83155,0.5521488,31.984575,98.8709,100,19.67238,4.0950505,1.19639530061913,1.11998349146189,0.623726787006238
7,9.75,-0.852365200000001,171.6732,369.9467,0.5361199,31.90965,98.86644,100,20.4918,4.409105,1.23333021567365,1.19930154025859,0.582510882782782
7,10.25,-0.385913925000002,193.86295,380.188075,0.528865,32.4203,98.861,100,21.1614,4.340844,1.15467644841206,1.19712994594689,0.586442421979516
7,10.75,-1.5523344,203.1046,456.6901,0.549378125,32.75735,98.850295,100,21.65416,4.82595875,1.26027134808847,1.25765655314395,0.604660731703567
7,11.25,0.573145374999997,253.35035,470.927975,0.598629,32.9413,98.83633,99.4920625,22.597975,5.8125375,1.44128909000949,1.42202637737367,0.646235174226299
7,11.75,7.12679774999998,233.4736,498.042475,0.59338365,33.338975,98.8199925,99.772325,24.61656,5.6479535,1.4518907582764,1.43528228836237,0.645362636542345
7,12.25,-3.377764,279.41005,505.48315,0.538569025,33.531225,98.7985125,100,25.6133825,5.2825255,1.51883368081422,1.732368155575,0.603803683570088
7,12.75,-0.976620599999999,218.3764,537.93375,0.581475175,33.6429,98.768235,100,26.74841,5.74925725,1.51924020139895,1.50302848812687,0.634047353240335
7,13.25,-2.385546,173.909025,574.7392,0.57955625,34.068075,98.751505,95.7874,28.8267025,5.858742,1.56289904117033,1.48849036436282,0.625284272512977
7,13.75,-1.0076928,230.292875,578.72355,0.55984545,34.57705,98.72972,95.190475,29.08474,5.7234845,1.43871106497238,1.57817692467459,0.62438289764348
7,14.25,0.812102749999997,201.3126,551.3513,0.605550725,34.449725,98.7220825,96.32038,30.0894475,5.42107575,1.35343878797859,1.56666985301866,0.654667730944917
7,14.75,-1.1373725,189.4789,380.682925,0.60924575,35.15815,98.7023475,93.7157875,31.78985,5.44520275,1.45735412395764,1.45056841888298,0.691083156396818
7,15.25,-1.797243,229.5787,560.14865,0.579165675,35.078625,98.6739875,91.073125,31.7110925,5.1928105,1.44979755021939,1.48810565992817,0.645649917170062
7,15.75,-0.302301400000003,168.6278,481.076175,0.56125365,34.6383,98.6606375,89.23274,31.23836,4.8515115,1.45378501957641,1.47827158259711,0.636164176274736
7,16.25,-1.030975625,107.19425,398.4755,0.56494115,34.73585,98.662545,92.89114,31.3857,4.7053555,1.36512527923337,1.67585937039754,0.622962809227169
7,16.75,0.819382124999994,111.718305,310.86145,0.526071,34.2192500000001,98.6548325,95.42082,30.16926,4.89162625,1.33031327718005,1.51648771549924,0.593217035107185
7,17.25,2.0427485,142.256075,264.875,0.4950398,34.5476,98.64221,96.823925,31.69734,4.919492,1.34823066012129,1.30435575680208,0.567888678325367
