DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
3,0.25,391.553798625,2.8116447,-12.8012423,-12.947161625,96.48538725,62.5795308,0,0.3939483,0.0296008,-0.2321505,-48.537486375,-3.6626567,-0.50325725,0.1264706,0.115043,0.0348818,0.048506,0.0051955,0.088376175,-3.91806825
3,0.75,390.6599295,2.74800325,-14.95985505,-13.0398935,96.4804385,62.319081,0,0.34312345,0.026608,-0.2668103,-47.4710384,-1.855153875,-0.9013605,0.14100095,0.12893685,0.02850815,0.0416699,0.00611325,0.076987825,-3.691603375
3,1.25,389.680829575,2.6658672,-14.499926575,-13.188671325,96.46188475,65.801588,0,0.267934225,0.0310064,-0.2526146,-40.7054898,-4.88028775,-0.87360715,0.1627143,0.131769125,0.03024985,0.044845075,0.0050219,0.089013925,-3.753775375
3,1.75,389.8006483,2.621956375,-13.872592175,-13.3578276,96.3746269,66.0593211,0,0.29042105,0.02783125,-0.216142225,-52.059753,-3.960999775,-0.8083524,0.12818945,0.12925715,0.021225975,0.045659075,0.005385,0.0874626,-3.622235
3,2.25,389.7311226,2.625137,-14.070617975,-13.3359892,96.3543524,63.003856275,0,0.42023965,0.02599805,-0.269494475,-53.692352975,-6.431118075,-0.5733682,0.136932725,0.119966875,0.0305696,0.040338575,0.005196,0.04954525,-3.605972
3,2.75,390.027061,2.67156775,-14.29158975,-13.073838875,96.254175875,61.57680185,0,0.327832,0.028324,-0.23293175,-41.889248,-7.818385625,-0.887954,0.1331355,0.1302755,0.02588275,0.03407575,0.005337625,0.08551895,-3.42156575
3,3.25,390.296113625,2.62415375,-14.7153001,-13.441281625,96.219126375,64.9946086,0,0.1923013,0.0251085,-0.2338079,-43.332933875,-6.80037825,-1.092654125,0.1521843,0.1078076,0.0258571,0.035263,0.005111125,0.0812894,-3.502234625
3,3.75,389.8920452,2.6568801,-15.558354875,-13.3445348,96.1771779,67.0731509,0,0.25307,0.02718425,-0.28218025,-39.99062575,-4.3613439,-0.6005962,0.135193125,0.12230775,0.027789125,0.038462,0.0042659,0.0813611,-3.405517625
3,4.25,389.788308125,2.56101575,-15.1052319,-13.402405875,96.17322625,70.01530585,0,0.24699575,0.02608665,-0.27770215,-38.8560248,-6.189102875,-1.771354625,0.1431779,0.1173299,0.0247407,0.03465675,0.005488375,0.07593995,-3.932184125
3,4.75,390.1667076,2.60879115,-15.766704175,-14.4102543,96.16185495,67.0512288,0,0.35224785,0.02853445,-0.248502,-39.8117284,-6.46813035,-0.8144628,0.133647325,0.111229375,0.028345425,0.0364244,0.00494355,0.07731855,-3.95175475
