DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
2,9.75,121.8423,105.70135,-4.5538755,2.54125,0.259532,-0.0076888,395.3925,24.5975,78.7265,6.57671,2.87726,0.3845657,369.963,433.171,82.63053,320.064,474.287,74.71022,-4.28714,-1.987216,2.4052805,-0.176774,28.48482,25.60882,103.0269,0.9500174,0.8425349,0.4482243,0.5754231,1.5742955,0.3139823
2,10.25,159.2607,107.309,-4.78916,1.850929,0.0647803,-0.0248976,395.21535,24.4936,75.1104,7.51163,2.9676425,0.40545365,375.53935,440.6075,76.60621,376.57735,547.1765,81.15789,-2.4539075,2.554415,7.92482,-0.1986433,28.93075,26.16954,103.059,0.9413333,0.90788445,0.47870385,0.6354406,1.6332355,0.2897702
2,10.75,196.366,112.795,-5.15565,1.706895,-0.01863145,-0.0249435,394.8248,24.53097,73.55995,9.354235,3.34404,0.435584,376.346,446.7264,73.0196,430.417,609.2195,88.89684,-0.19777,9.54399,11.462065,-0.226416,29.50948,26.91369,103.077,1.029588,0.9351834,0.5142028,0.728716,1.791184,0.3312572
2,11.25,224.807,122.928,-5.45729,1.45807,-0.333244,-0.0177283,395.175,24.536,69.9969,10.69781,3.3837415,0.4454025,379.6345,454.2705,72.21444,477.0735,659.836,94.058965,1.129362,16.629585,15.68015,-0.23508995,29.97416,27.439155,103.0037,1.0666455,0.9992761,0.53375745,0.8304267,1.931175,0.335988
2,11.75,243.56555,130.00475,-5.65347,1.006119,0.07891134,-0.0392726,394.1935,24.40223,68.87891,11.8074,3.4086225,0.455882,381.8685,458.2225,69.717755,505.2708,695.82255,97.759215,3.519135,20.585915,21.1058,-0.246611,30.1695,27.90572,102.96205,1.0744065,0.9841297,0.5319537,0.8635099,1.919235,0.3452099
2,12.25,245.8074,128.9505,-5.56406,-0.654399,-0.865803,-0.0666902,393.531,24.119005,67.936565,11.8572,3.615773,0.46746345,383.56925,460.059,68.04376,511.822,697.915,98.07925,5.531035,23.7584,24.45155,-0.2590092,30.523345,27.673735,102.91445,1.101307,1.0439705,0.5468202,0.87200915,1.911344,0.3435562
2,12.75,257.7415,125.466,-5.665911,-1.078882,-1.05745,-0.0968428,392.404,24.18297,67.9941,11.6446,3.558645,0.47189185,383.73785,462.4723,64.97941,533.5215,719.70975,102.9098,6.958675,28.494175,24.978475,-0.25957425,30.7792,27.493235,102.8902,1.109586,1.0483695,0.56193745,0.898114,1.9426265,0.3542485
2,13.25,263.5617,121.6182,-5.870084,-0.062737985,-0.5262758,-0.03042231,392.2009,23.55816,68.445925,11.446065,3.629765,0.4643824,382.9371,462.2095,63.86402,530.699,726.4515,100.33675,9.503245,30.27115,31.039055,-0.2564613,30.72762,27.33843,102.8339,1.1051465,1.0554705,0.54565765,0.89485285,1.9801985,0.3763399
2,13.75,258.4049,122.765,-5.851222,1.8589615,0.82553695,0.06919425,393.21375,24.2157,65.82395,12.94266,3.87732,0.47252465,381.6047,464.9143,63.52345,500.7355,697.5687,98.4717,10.0224,32.1465,32.77402,-0.26659,30.896745,27.83684,102.7935,1.1468365,1.069079,0.5517336,0.90452555,1.8941645,0.35132065
2,14.25,243.36705,116.75675,-5.5912845,1.658706,0.604917,0.05538518,393.3035,24.62651,64.5226,13.60427,3.85079,0.4730301,380.7875,460.5285,62.95925,464.275,657.7448,93.9579,11.21355,32.17508,34.21021,-0.2685901,30.759,28.16393,102.74875,1.134461,1.095552,0.54737695,0.8481541,1.825167,0.34442635
2,14.75,222.9467,111.066,-5.13335,-0.16130935,0.1883355,0.002551929,393.1605,24.7615,65.642,13.55092,3.944165,0.4798013,381.4014,457.7595,64.457335,411.863,604.466,87.48665,12.03945,32.1194,33.917535,-0.274423,30.812415,28.2825,102.73305,1.1387645,1.0744765,0.5566293,0.7664256,1.6820885,0.3291448
2,15.25,194.358,94.2439,-4.7949635,-1.0108102,-0.1777831,-0.05016828,392.6315,24.3666,66.13675,12.54865,3.91493,0.4762201,379.58,453.3215,65.74463,347.22515,523.582,78.7729,12.18044,30.75855,30.7276,-0.26590805,30.491405,27.6365,102.726,1.11974,1.0216235,0.5424787,0.66602895,1.552223,0.288647
2,15.75,145.857,77.394,-4.19082,-1.809355,-0.465174,-0.0500817,392.1316,24.08595,68.270405,11.51805,3.852875,0.46832235,378.85705,449.161,67.03581,270.955,426.9689,65.56755,11.94255,28.67485,25.9409,-0.2593843,30.230915,26.86695,102.717,1.092047,1.005014,0.5412009,0.560387,1.3197685,0.30378845
2,16.25,97.222485,59.8767,-3.023186,-2.562329,-0.681335,-0.081702615,390.9685,23.57271,72.530035,9.544135,3.80251,0.4514777,378.48955,444.115,69.81,183.1558,329.1385,53.113715,10.72176,24.49435,23.55715,-0.24583015,29.915515,25.792065,102.7286,1.088196,0.93877565,0.52422535,0.4170074,1.071837,0.27784135
2,16.75,53.02655,43.0713,-1.744695,-3.068375,-0.7035212,-0.09404844,390.23305,23.1593,74.751665,7.93698,3.6578065,0.4397645,375.27045,438.03865,73.221545,109.1245,223.3338,39.73953,9.635063,21.5603,20.57765,-0.232033,29.5435,24.6565,102.734,1.034561,0.88624455,0.50873515,0.3008187,0.7689753,0.233227
2,17.25,12.89645,23.49875,-0.5498245,-3.6310435,-1.192955,-0.1106675,389.326,21.69384,81.70345,5.68512,3.500535,0.41894545,369.91985,431.56925,77.068255,36.62009,125.664,24.01793,8.96282,17.4653,17.499535,-0.20957045,29.065105,23.55761,102.73365,0.99348055,0.80927445,0.4802044,0.1846911,0.52985275,0.2003653
2,17.75,-14.273215,5.82231,1.079291,-4.525576,-0.298329,-0.1343196,388.667,22.448495,92.21798,2.160906,3.077954,0.3471165,367.91755,423.7805,81.955835,-18.6867,42.41289,9.463235,8.365425,13.52295,13.86215,-0.14756345,28.79832,21.7715,102.756,0.86974575,0.66477955,0.41349485,0.16460395,0.60823385,0.1651138
2,18.25,-20.76685,-0.9370287,1.88657,-3.671194,-0.951721,-0.09312534,388.2985,22.5696,99.621005,0.0900447,2.393735,0.26742475,366.16825,416.767,84.582895,-55.33483,2.95885,1.605147,7.1000045,10.66665,10.6487,-0.086054525,28.48625,19.9933,102.77965,0.71456225,0.5582008,0.3275555,0.20179385,0.9211713,0.1295261
2,18.75,-18.77754,-0.88670615,1.9832085,-1.919111,-0.520859,-0.00241646,388.59265,22.314735,99.86024,0.03195161,2.2771055,0.2422335,364.902,413.9162,88.57759,-58.197,-0.66903245,1.087155,5.2846145,6.774585,7.2691775,-0.0709872,28.07425,19.4995,102.8127,0.63051745,0.4802465,0.29639015,0.217626,1.1447995,0.13838275
