DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
2,15.25,0.476,0.8285,2.0255,0.2205,0.3725,-0.209,34.35,9.9555,-4.50725,1.92525,30.7425,100.6,394.098,2.855,51.175,231.35,108.9,19.625,250.025,323.85
2,15.75,0.43725,0.7545,1.9885,0.44275,0.386,-0.11525,13.922,6.181,-4.409,1.909,30.885,100.60075,394.129,2.7625,26.9075,164.7,78.825,12.92,248.375,321.525
2,16.25,0.3845,0.43775,1.78375,0.6345,0.385,-0.0135,-3.22825,4.634,-4.41475,1.8845,31.825,100.601,394.111,2.655,0.207,105.375,49.475,6.2345,249.1,320
2,16.75,0.311,0.19575,1.6985,0.86,0.373,0.15775,-17.2785,1.368,-4.47375,1.864,33.13,100.601,394.293,2.5625,-33.63,51.8675,24.975,3.678,249.9,317.725
2,17.25,0.209,-0.22,1.3885,0.898,0.235,0.15625,-30.0665,0.152,-4.6065,1.82175,34.805,100.7,394.363,2.4175,-61.6275,12.2,4.883,1.49925,248.3,314.775
2,17.75,0.188,-0.7735,1.20625,1.0015,0.1545,0.2145,-35.8095,-0.216,-4.61125,1.79225,37.845,100.7,394.974,2.29,-71.6,0.45275,0.1,0.57,247,312.425
2,18.25,0.16325,-1.232,1.14475,0.893,0.11832,0.13675,-35.443,-0.1645,-4.85175,1.77325,39.855,100.775,395.25525,2.1675,-70.925,-0.065,0,0.49175,245.65,308.6
2,18.75,0.1535,-1.6005,1.14875,0.81225,0.0915,0.10525,-34.1985,-0.89725,-4.91725,1.76325,41.87,100.8,395.484,2.02,-68.9025,-0.09625,-0.002,0.5,243.3,304.95
2,19.25,0.157,-1.8815,1.15425,0.8105,0.0705,0.0645,-36.338,-0.588,-5.07725,1.75975,43.4725,100.8,395.75725,1.91,-67.83,-0.1,-0.00425,0.5,241.1,304.325
2,19.75,0.157,-2.18975,1.181,0.76825,0.1004,0.01575,-36.1515,-0.46375,-5.198,1.758,45.3425,100.8,396.06475,1.7325,-67.3425,-0.1,-0.005,0.5,240.725,303.15
2,20.25,0.16,-2.2995,1.1435,0.802,0.113,-0.035,-36.04325,-0.7865,-5.38175,1.74675,46.7675,100.8,396.22275,1.67,-66.625,-0.1,-0.0125,0.5,241.55,302.9
2,20.75,0.1495,-2.53975,1.20675,0.731,0.13305,-0.03625,-38.396,-0.633,-5.5055,1.7315,49.3825,100.801,396.34475,1.4775,-65.1975,-0.1,-0.015,0.5,239.025,301
2,21.25,0.144,-2.7015,1.1645,0.774,0.083,-0.055,-38.952,-0.6105,-5.73775,1.72475,50.12,100.8,396.26325,1.3175,-65.0275,-0.1,-0.02125,0.6,238.05,300.05
2,21.75,0.155,-2.8385,1.165,0.768,0.1965,-0.1175,-37.6825,-0.508,-5.86225,1.7075,51.815,100.8,396.8235,1.1875,-64.9075,-0.1,-0.03375,0.525,236.875,299.55
2,22.25,0.16325,-3.0885,1.15075,0.618,0.124,-0.18625,-39.391,-0.6815,-5.931,1.692,52.26,100.7,396.9835,1.05,-64.495,-0.04125,-0.09325,0.53175,236.25,298.725
2,22.75,0.15325,-3.22425,1.15575,0.71825,0.18025,-0.168,-37.25275,-0.67275,-6.052,1.667,53.0775,100.8,396.54075,1.0175,-64.7475,-0.08425,-0.07525,0.4925,234.525,297.75
2,23.25,0.1405,-3.41925,1.1595,0.824,0.1979,-0.142,-37.937,-0.71175,-6.1735,1.66,53.85,100.8,398.3735,1.0275,-64.175,-0.1,-0.06975,0.4025,232.925,296.625
2,23.75,0.1455,-3.5265,1.155,0.70375,0.20525,-0.1295,-35.527,-0.797,-6.33525,1.64725,54.6725,100.8,396.61275,0.9675,-63.575,-0.05725,-0.05975,0.328,232.15,295.625
3,0.25,0.1495,-0.2365,1.14225,0.71025,0.2738275,-0.2165,-37.15975,-0.51575,-6.2065,3.5335,52.825,100.9,395.0165,0.9425,-61.8925,-0.1,-0.05475,0.58575,253.375,311.625
3,0.75,0.147,-0.49825,1.1245,0.76025,0.26,-0.1765,-36.932,-0.412,-6.446,3.48175,53.45,100.9,395.466,0.9225,-61.8625,-0.1,-0.02,0.56,250.575,310.525
3,1.25,0.14725,-0.8015,1.111,0.72575,0.256,-0.1245,-37.233,-0.4495,-6.579,3.39775,54.43,100.9,395.537,0.8,-61.8575,-0.1,-0.048,0.605,250.525,309.075
3,1.75,0.142,-1.06025,1.0985,0.7125,0.21325,-0.16125,-37.0135,-0.631,-6.75925,3.33175,56.1775,100.9,395.22875,0.85,-60.8975,-0.1,-0.05775,0.7115,249,307.95
3,2.25,0.1455,-1.1585,1.12675,0.647,0.22775,-0.1115,-35.743,-0.96975,-6.88,3.25475,56.2,100.87525,395.2125,0.815,-59.5425,-0.1,-0.062,0.641,248.825,307.35
3,2.75,0.16,-1.3695,1.1455,0.6965,0.24175,-0.1695,-34.6255,-0.6395,-6.993,3.19,56.54,100.87525,395.3745,0.7575,-59.97,-0.1,-0.04225,0.6,248.425,305.95
3,3.25,0.17025,-1.52125,1.1165,0.789,0.3125,-0.158,-37.075,-0.643,-7.15875,3.113,58.7,100.9,395.71975,0.6975,-59.5525,-0.1,-0.0465,0.6655,247.3,305.25
3,3.75,0.167,-1.61275,1.2065,0.7485,0.271,-0.1885,-34.189,-0.4165,-7.314,3.07375,59.99,100.9,395.69625,0.7175,-60.6125,-0.1,-0.066,0.69475,249.025,304.025
3,4.25,0.168,-1.75875,1.0965,0.75275,0.2955,-0.211,-33.584,-0.949,-7.38375,3.04225,60.61,100.9,395.9715,0.7,-60.1325,-0.1,-0.0985,0.6,247.425,304.05
3,4.75,0.17,-1.942,1.07725,0.757,0.337,-0.14775,-32.7195,-0.6085,-7.5465,3.0125,60.775,100.9,396.02075,0.7175,-59.895,-0.1,-0.06225,0.6,247.975,303.4
3,5.25,0.16,-2,1.1685,0.74375,0.2435,-0.123,-34.66325,-0.675,-7.6515,2.95675,61.2925,100.9,396.88925,0.67,-59.26,-0.1,-0.04,0.5075,245.6,302.525
3,5.75,0.17325,-2.18275,1.15075,0.81175,0.233,-0.1065,-28.695,-0.941,-7.733,2.91075,61.86,100.9,396.44225,0.655,-57.155,0.00375,0,0.62,245.675,301.525
3,6.25,0.1925,-1.978,1.194,0.5665,0.42375,-0.1945,-21.147,-1.0155,-7.82625,2.88125,62,100.975,396.575,0.6475,-46.4375,5.575,2.5,1,244.975,302.25
3,6.75,0.251,-1.59225,1.22975,0.42875,0.55125,-0.619,-10.294,0.364,-7.78625,2.8895,59.95,100.9,396.557,0.5975,-15.65,39.375,18.575,2.603,245.825,305.3
3,7.25,0.354,-0.651,1.29425,-0.117,0.534,-1.345,7.3895,4.771,-7.65825,2.92175,56.875,100.9,395.594,0.63,13.0075,99.05,45.3325,5.9555,244.525,310.025
