DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
2,13.25,0.11047,-16.52,2.0285,0.0721,-7.09827811,0.14987,70.475,89.4,-18.65,196.085,108.15,177.928,86.75,-5.1965,-4.0005,-7.582,-6.4265,-5.698,-7.339,-4.9275,-6.421,400.8
2,13.75,0.104415213,-16.56,2.059,0.0459041235,-5.565675,0.0972,70.05,89.4,-19.77,192.3685,104.2,170.221,83.2,-5.157,-3.939,-7.601,-6.422,-5.709,-7.312,-4.888,-6.46,401
2,14.25,0.1039473995,-16.82,1.868,0.042090501,-7.199485,0.0899,69.72,89.4,-19.03,174.226,94.1,158.787,78.985,-5.127,-3.8675,-7.61075,-6.3685,-5.696,-7.2975,-4.8515,-6.4485,399.7
2,14.75,0.111196682,-16.825,1.9305,0.0484,-5.30675,0.090325,69.67,89.4,-19.48,150.3435,82.35,134.982,69.42,-5.137,-3.858,-7.61875,-6.36275,-5.7535,-7.264,-4.82975,-6.442,400.8
2,15.25,0.105494149,-16.885,2.0385,0.0494,-6.98953,0.0365,69.855,89.4,-22.26,122.368,66.54,105.81,55.165,-5.136,-3.859,-7.64925,-6.32225,-5.737,-7.2525,-4.837,-6.4765,400.7
2,15.75,0.105366668,-17.52,2.153,0.0307,-5.799467873,0.0903,69.76,89.4,-23.87,84.2271,45.2,75.8775,38.215,-5.079,-3.831,-7.662,-6.32275,-5.717,-7.229,-4.8465,-6.497,400.8
2,16.25,0.10658,-17.655,2.0245,0.05215,-5.81756,0.1526187135,69.97,89.4,-26.57,51.7016,25.86,45.8256,22.36,-5.115,-3.856,-7.6685,-6.3125,-5.718,-7.2365,-4.86225,-6.517,400.6
2,16.75,0.10488,-17.35,1.9905,0.0544,-6.523312995,0.0274,70.035,89.4,-27.75,20.7808,9.41,19.8073,8.67,-5.09,-3.897,-7.628,-6.268,-5.7155,-7.2565,-4.8765,-6.513,400.6
2,17.25,0.105175,-17.62,2.179,0.0493,-6.0029774875,0.0603,70.235,89.4,-29.26,5.27183,1.35,5.71342,2.1835,-5.135,-3.937,-7.61275,-6.25025,-5.6835,-7.2735,-4.872,-6.4955,400.75
2,17.75,0.099264319,-17.67,2.0775,0.0553,-5.312544721,0.0351,70.735,89.4,-29.855,0.4060985,0,1.4783,0.459,-5.202,-3.961,-7.58575,-6.241,-5.673,-7.3095,-4.87,-6.4885,402.4
2,18.25,0.104524998,-18.125,2.1775,0.0446,-6.3769988955,0.0421,71.225,89.5,-28.49,0,0,0.713007,0.058,-5.238,-4.017,-7.57025,-6.2405,-5.6455,-7.3745,-4.869,-6.5025,401.15
2,18.75,0.0963,-17.72,2.1375,0.05515,-5.8208,0.05945,71.125,89.5,-28.86,0,0,0.510557,0,-5.263,-4.019,-7.54975,-6.247,-5.6325,-7.388,-4.888,-6.52,401.1
2,19.25,0.112464,-18.01,2.004,0.04085,-7.1120983745,0.0134,71.37,89.5,-29.31,0,0,0.46355,0,-5.281,-3.984,-7.60225,-6.2645,-5.591,-7.353,-4.894,-6.534,401.3
2,19.75,0.103934138,-18.23,1.993,0.0473,-8.5990858885,-0.0191,71.33,89.5,-29.78,0,0,0.434637,0,-5.291,-3.98,-7.6235,-6.309,-5.6015,-7.3435,-4.907,-6.5255,401.8
2,20.25,0.103803,-18.185,2.048,0.0499,-9.65033,-0.01115,71.145,89.5,-29.34,0,0,0.430226,0,-5.225,-3.992,-7.65225,-6.312,-5.6105,-7.4015,-4.911,-6.549,402
2,20.75,0.0969,-18.04,1.8825,0.0406,-7.303444508,-0.042125,71.385,89.5,-29.57,0,0,0.45648,0,-5.288,-4.013,-7.53375,-6.266,-5.6045,-7.469,-4.9,-6.526,401.9
2,21.25,0.095605,-18.055,1.9395,0.06,-8.72907,-0.033985531,71.43,89.5,-28.84,0,0,0.418066,0,-5.289,-4.045,-7.247,-6.23,-5.5775,-7.3135,-4.858,-6.589,401.55
2,21.75,0.0924,-18.16,1.8915,0.0523,-7.2015585875,0.0744,71.255,89.5,-28.075,0,0,0.350743,0,-5.198,-3.963,-7.2425,-6.23375,-5.5475,-7.2595,-4.85125,-6.593,403
2,22.25,0.10836,-18.08,1.898,0.0453,-7.6218,-0.0445,71.4,89.5,-28.18,0,0,0.355651,0,-5.186,-3.926,-7.2995,-6.22375,-5.5635,-7.2125,-4.84375,-6.583,402.4
2,22.75,0.10001,-17.74,1.8405,0.06,-7.24915,-0.0467,71.22,89.5,-28.72,0,0,0.367104,0,-5.169,-3.907,-7.328,-6.24275,-5.574,-7.2195,-4.8375,-6.594,402
2,23.25,0.104960876,-17.84,1.92,0.06195,-7.316,-0.061205,71.04,89.5,-28.315,0,0,0.3808565,0,-5.1695,-3.8665,-7.323,-6.218,-5.592,-7.214,-4.835,-6.61475,402
2,23.75,0.1053736005,-18.105,1.9595,0.05,-7.22065,0.0249,71.39,89.5,-28.575,0,0,0.35447,0,-5.171,-3.796,-7.3305,-6.23725,-5.602,-7.238,-4.8185,-6.631,401.3
3,0.25,0.07286,-15.36,1.982,0.0185,-3.0679419075,-0.03014,70.305,89.7,-30.835,0,0,0.382498,0,-5.2205,-3.937,-5.461,-4.35875,-4.504,-5.271,-3.5445,-4.855,403.1
3,0.75,0.0794,-15.49,1.958,0.0308,-4.194848677,-0.03175,70.055,89.7,-30.18,0,0,0.44599,0,-5.1435,-3.9245,-5.44275,-4.30675,-4.5135,-5.1915,-3.5775,-4.8045,403.15
