DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,4.25,0.174,-3.3625,3.1815,0.291,0.308,0.002,-40.149,-0.257,0.6395,-0.05,-4.5765,0.139,0.667,62.28,76.81,386.595,1.745,-81.4,0,-1.482,0,0.8775,194.2,281.25,3.508,0
2,4.75,0.1855,-3.2665,3.0955,0.274,0.273,0.005,-33.774,-0.135,0.5945,-0.029,-4.6,0.133,0.663,61.74,76.81,386.466,1.86,-80.5,0,-1.5275,0,0.9055,193.85,280.1,3.493,0
2,5.25,0.181,-3.327,3.2985,0.2835,0.274,0.002,-33.9505,-0.126,0.236,-0.014,-4.609,0.131,0.659,63.085,76.8155,386.815,1.76,-79.5845,0,-1.475,0,0.958,195.65,279.1,3.353,0
2,5.75,0.198,-3.561,3.2685,0.276,0.273,0.003,-32.053,-0.125,0.702,0.004,-4.6165,0.131,0.659,62.89,76.8155,386.7075,1.665,-78.3,0,-1.454,0,0.881,195.95,279.1,3.469,0
2,6.25,0.197,-3.62,3.0445,0.25,0.2415,0.003,-32.5175,-0.082,0.5715,0.041,-4.629,0.132,0.659,62.715,76.8405,386.702,1.7,-76.125,0,-1.5415,0,0.9935,195.25,281.6,3.368,0
2,6.75,0.177,-4.1295,2.809,0.227,0.219,0.003,-29.945,-0.096,0.371,-0.0245,-4.506,0.131,0.659,62.86,76.825,386.8395,1.57,-75.08,0,-1.35,0,1.0515,195.7,280,3.2655,0
2,7.25,0.171,-4.2,2.906,0.252,0.235,0,-28.0605,-0.0185,0.6875,0.001,-4.5815,0.13,0.659,64.82,76.8255,387.015,1.495,-75.035,9.593,4.3285,0,3.687,193.5,277.85,3.243,11.1455
2,7.75,0.1765,-3.9765,2.8625,0.2605,0.265,-0.003,-27.278,0.198,0.675,0.125,-4.6065,0.13,0.659,63.71,76.86,386.763,1.6,-48.01,85.6035,47.49,38.04,24.06,193.3,280.5,3.348,66.991
2,8.25,0.176,-2.925,2.6975,0.251,0.247,-0.006,-15.086,1.0675,2.769,0.193,-4.622,0.131,0.657,58.795,76.89,386.5725,2.01,-4.603,295.002,164.05,118.25,71.62,194.65,286.65,3.5475,128.006
2,8.75,0.2265,-1.1645,2.685,0.159,0.1885,-0.014,-4.0115,1.235,5.708,0.1055,-4.6195,0.129,0.657,55.73,76.93,386.1335,2.44,25.405,508.341,267.95,214.7,113.25,197.15,295.35,3.683,175.165
2,9.25,0.244,0.35,3.1345,0.1365,0.168,-0.027,1.646,1.315,8.887,0.057,-4.6155,0.131,0.658,48.425,76.955,385.494,3.035,49.625,752.571,358.4,313.8,168.5,200.15,299.35,3.777,197.05
2,9.75,0.2555,1.7675,3.517,0.094,0.139,-0.032,3.125,1.19,11.72,-0.0805,-4.3615,0.136,0.659,43.375,76.97,385.3425,3.46,78.17,971.93,465.05,433,223.85,199.45,304.05,3.907,194.4975
2,10.25,0.286,2.027,3.767,0.097,0.127,-0.025,4.076,0.836,14.934,-0.007,-4.165,0.135,0.6595,41.4,76.97,385.133,3.94,93.9,1140.06,543.9,558.25,281.4,202.9,309.2,3.942,207.304
2,10.75,0.308,2.799,4.167,0.086,0.097,-0.018,8.4,0.663,18.877,0.041,-4.135,0.147,0.66,39.97,76.98,384.778,4.08,120.2,1289.029,621.8,613.4,319.4,208.1,314.7,3.941,234.464
2,11.25,0.298,3.045,4.1465,0.049,0.07,-0.015,10.963,0.6095,19.9925,0.133,-4.07,0.169,0.66,39.5,76.96,384.273,4.19,143.05,1415.6985,683.25,675.8,343.4,208.75,317.25,4.2425,264.4915
2,11.75,0.318,3.564,4.275,0.056,0.074,-0.015,11.366,0.523,22.3405,-0.039,-4.0525,0.173,0.662,41.865,76.971,384.332,4.485,156.55,1433.329,721.6,618.5,354.45,211.45,319,4.1335,290.451
2,12.25,0.2995,3.7055,4.15,0.0635,0.082,-0.013,9.037,0.352,22.7415,0,-4.071,0.179,0.669,40.16,76.97,383.816,4.615,163.8,1441.06,740.2,644.2,348.4,213.7,319.9,3.897,338.068
2,12.75,0.3195,3.738,4.3775,0.024,0.048,-0.01,12.342,0.463,22.502,0.052,-3.937,0.184,0.683,38.755,76.955,383.577,4.49,169.85,1444.874,753.3,724.35,360.05,215.75,319.15,4.034,366.8665
2,13.25,0.339,3.885,4.478,0.055,0.0645,-0.012,10.632,0.229,22.588,0.052,-3.96,0.183,0.6845,38.73,76.93,383.349,4.8,168.6,1432.7405,738.45,630.85,348.65,217.5,319.65,3.947,376.041
